Company Name,Instrument,Current Rating,Rating Date,Urgency,Outlook,Sector,Current Rater,Why Target,Pitch Angle,Priority Score
Ashapura Options Private Limited,Bank Facilities - Long Term (Proposed),IVR BB+ (INC)(Withdrawn),2021-09-30,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Imperial Granites Pvt Ltd,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed & Withdrawn),2021-10-21,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Imperial Granites Pvt Ltd,Long Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2021-10-21,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
JAM Hotels and Resorts Private Limited,Long term Bank Facilities - Proposed,IVR BB (INC)(Reaffirmed & Withdrawn),2021-10-28,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sai Point Finance Corporation Limited,Long Term Fund Based Limits - Cash Credit,IVR BB (INC)(Withdrawn),2021-11-25,HIGH,Nil,BFSI,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sri Anagha Refineries Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2021-12-20,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sri Anagha Refineries Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2021-12-20,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sri Anagha Refineries Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2021-12-20,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sri Anagha Refineries Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2021-12-20,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Mahadev Yarns Private Limited,Short Term Bank Facilities - Bank Guarantee,IVR A4 (INC)(Reaffirmed and Withdrawn),2021-12-29,HIGH,Nil,Textiles,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
