Company Name,Current Rater,Instrument,Rating,Rating Date,Days Since Rating,Action,Urgency,Sector,INC_Flag,Why Target,Pitch Angle
Lords Travel Pvt. Ltd.,CARE,Bank Guarantee,B-,2026-05-04,39,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CARE — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CARE rating was downgraded. ACER provides independent assessment — we may rate you better.
Libra International Ltd.,CARE,Term loans,B,2026-05-04,39,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CARE — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CARE rating was downgraded. ACER provides independent assessment — we may rate you better.
Libra International Ltd.,CARE,Non-government debt,B/A4,2026-05-04,39,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CARE — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CARE rating was downgraded. ACER provides independent assessment — we may rate you better.
Deep (India) Enterprises Pvt. Ltd.,CARE,Fund based financial facility/instrument,B-,2026-05-04,39,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CARE — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CARE rating was downgraded. ACER provides independent assessment — we may rate you better.
Deep (India) Enterprises Pvt. Ltd.,CARE,Term loans,B-,2026-05-04,39,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CARE — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CARE rating was downgraded. ACER provides independent assessment — we may rate you better.
Sri Seshasai Spg. Mills Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Union Roller Flour Mills Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-30,43,Downgraded,LOW,Infrastructure,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
V J Automobiles Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Veerabhadra Minerals Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Sri Seshasai Spg. Mills Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Veerabhadra Minerals Pvt. Ltd.,CRISIL,Letter Of credit,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Krystal Integrated Services Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 2,2026-04-30,43,Downgraded,LOW,Other/Unknown,N,"Downgraded by CRISIL — dissatisfied client, open to better alternative.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Krystal Integrated Services Ltd.,CRISIL,Bank Guarantee,A 2,2026-04-30,43,Downgraded,LOW,Other/Unknown,N,"Downgraded by CRISIL — dissatisfied client, open to better alternative.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
X L Laboratories Pvt. Ltd.,CRISIL,Term loans,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
X L Laboratories Pvt. Ltd.,CRISIL,Term loans,B,2026-04-30,43,Downgraded,LOW,Other/Unknown,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
N C C Infraspace Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-04-30,43,Downgraded,LOW,Infrastructure,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Krystal Integrated Services Ltd.,CRISIL,Fund based financial facility/instrument,BBB+,2026-04-30,43,Downgraded,LOW,Other/Unknown,N,"Downgraded by CRISIL — dissatisfied client, open to better alternative.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Krystal Integrated Services Ltd.,CRISIL,Term loans,BBB+,2026-04-30,43,Downgraded,LOW,Other/Unknown,N,"Downgraded by CRISIL — dissatisfied client, open to better alternative.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
N C C Infraspace Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-30,43,Downgraded,LOW,Infrastructure,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
N C C Infraspace Pvt. Ltd.,CRISIL,Term loans,B,2026-04-30,43,Downgraded,LOW,Infrastructure,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Uttamenergy Ltd.,CRISIL,Letter Of credit,A 4,2026-04-30,43,Downgraded,LOW,Infrastructure,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
Vardhman Rice Exports Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-04-30,43,Downgraded,LOW,Infrastructure,Y,"Downgraded by CRISIL — dissatisfied client, open to better alternative. ALSO INC — not cooperating.",Your CRISIL rating was downgraded. ACER provides independent assessment — we may rate you better.
