Company Name,Instrument,Rating,Rating Date,Urgency,Outlook,Current Rater,Sector,Why Target
Karnal Food Pack Cluster Limited,Long Term Bank Facility,IVR B (INC)(Downgraded),2024-12-20,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Avyukta Agro Impex Private Limited,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-05-29,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Avyukta Agro Impex Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2025-05-29,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Premier Marine Foods,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-03-26,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Premier Marine Foods,Short Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-03-26,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Genuine Agro Spices (Partnership),Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-05-27,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Genuine Spices,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-05-27,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Genuine Spices,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-05-27,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Immaculate Agro Spices Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-05-27,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Immaculate Agro Spices Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-05-27,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Patel Agri Industries Private Limited,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-05-20,HIGH,Stable,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
TLG Agro Traders Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-01-10,HIGH,Stable,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
TLG Agro Traders Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-01-10,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Mash Agro Foods Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),2025-05-27,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
MRMC Foods Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),2025-05-06,HIGH,Stable,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
MRMC Foods Private Limited,Short Term Bank Facilities,IVR A3 (Upgraded),2025-05-06,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Baba Kailashpati Agro Processing Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),2025-05-08,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Genuine Agro Spices (Partnership),Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-05-27,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Genuine Spices,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-05-27,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Genuine Spices,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-05-27,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Immaculate Agro Spices Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-05-27,HIGH,Negative,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Immaculate Agro Spices Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-05-27,HIGH,Nil,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
Patel Agri Industries Private Limited,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-05-20,HIGH,Stable,Infomerics,Agro/Food,HIGH urgency rating in Agro/Food sector — overdue for renewal.
