Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Anirudh Plastic Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-06-11,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Gujarat Insecticides Ltd.,CRISIL,Bank Guarantee,A,2025-06-11,HIGH,Chemicals,Active,Downgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pioneer Plastic Inds. Ltd.,ACUITE,Bank Guarantee,A 4,2025-06-11,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Marksans Pharma Ltd.,CARE,Non-fund-based financial facility/instrument,A 1+,2025-06-10,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Tata Chemicals Ltd.,CARE,Bank Guarantee,A 1+,2025-06-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Aimco Pesticides Ltd.,CARE,Non-government debt,BB-/A4,2025-06-10,HIGH,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Rukmani Polymers Pvt. Ltd.,CARE,Bank Guarantee,A 4+,2025-06-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Axxelent Pharma Science Pvt. Ltd.,IND-RA,Term loans,BB+,2025-06-06,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pharmax India Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BBB,2025-06-05,HIGH,Pharma/Biotech,Active,Upgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Petro Carbon & Chemicals Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2025-06-05,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Tinkas Industries Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-05-30,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Jericho Chemicals LLP,Infomerics,Long Term Facilities,IVR B+ (INC)(Downgraded),2025-05-28,HIGH,Chemicals,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Kripa Biotech LLP,Infomerics,Long Term Bank Facilities,IVR BB+ (Upgraded),2025-05-28,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Nestor Pharmaceuticals Limited,Infomerics,Long Term Facilities,IVR BB+ (Upgraded and Withdrawn),2025-05-26,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Criyagen Agri & Biotech Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-05-21,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Multifilms Plastics Pvt. Ltd.,CARE,Term loans,B-,2025-05-12,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Kwality Pharmaceuticals Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-05-12,HIGH,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Nishigandha Polymers Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-05-12,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Shree Gurukrupa Tradelink Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-11,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
P N P Polymers Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3,2025-05-09,HIGH,Chemicals,Active,Initial Rating,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Hindustan Adhesives Ltd.,CARE,Bank Guarantee,A 3+,2025-05-09,HIGH,Chemicals,Active,Rating Watch,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Gujarat Credo Alumina Chemicals Ltd.,CRISIL,Term loans,BBB+,2025-05-08,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Vimal Life Sciences Pvt. Tld.,CARE,Non-government debt,A-/A2+,2025-05-08,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Alkali Metals Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4+,2025-05-06,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Asian Fertilizers Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-05-06,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Darshana Solvent Extraction Pvt. Ltd.,IND-RA,Term loans,BB-,2025-05-06,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Jeevan Polymers Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-06,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Shri Jagdamba Polymers Ltd.,CARE,Non-fund-based financial facility/instrument,A 4,2025-05-06,HIGH,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Sovika Chemicals Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-06,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Rukmani Polymers Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-05-06,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Singhvi Tradelink LLP,Infomerics,Long Term/Short Term Bank Facilities,IVR BB-/IVR A4; (INC)(Downgraded/Reaffirmed),2025-04-28,HIGH,Chemicals,INC,Negative/-,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
T. R. Chemicals Limited,Infomerics,Short Term Bank Facilities,IVR A4 (Reaffirmed),2025-04-18,HIGH,Chemicals,Active,Nil,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Unitop Chemicals Pvt. Ltd.,ICRA,Term loans,AA-,2025-04-12,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Universal Petrochemicals Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-04-12,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Rossari Biotech Ltd.,ICRA,Non-government debt,AA-/A1+,2025-04-12,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
S M S Pharmaceuticals Ltd.,CARE,Letter Of credit,A 1,2025-04-12,HIGH,Pharma/Biotech,Active,Upgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Newton Engineering & Chemicals Ltd.,ACUITE,Bank Guarantee,D,2025-04-11,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Ravian Life Science Pvt. Ltd.,CRISIL,Term loans,B+,2025-04-11,HIGH,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Aypols Polymers Pvt. Ltd.,CARE,Term loans,B,2025-04-11,HIGH,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
P N P Polymers Pvt. Ltd.,CRISIL,Letter Of credit,A 3,2025-04-11,HIGH,Chemicals,Active,Upgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Beta Drugs Ltd.,CRISIL,Term loans,BBB+,2025-04-08,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
International Biotech Park Ltd.,ICRA,Term loans,BBB-,2025-04-08,HIGH,Pharma/Biotech,Active,Downgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
