Company Name,Current Rater,Instrument,Rating,Rating Date,Days Since Rating,Days Overdue,Urgency,Status,Sector,Why Target,Pitch Angle
Jajoo Rashmi Refractories Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 2,2025-05-06,402,37,HIGH,Upgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Jajoo Rashmi Refractories Ltd.,CRISIL,Long term Loans,BBB+,2025-05-06,402,37,HIGH,Upgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Kaveri Agro Inds. Pvt. Ltd.,IND-RA,Term loans,BB,2025-05-06,402,37,HIGH,Downgraded,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Aryan Energy Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Shree Sita Pulses Pvt. Ltd.,CARE,Term loans,B-,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Tavasya Venture Partners Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Tavasya Venture Partners Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Tavasya Venture Partners Pvt. Ltd.,CARE,Term loans,B+,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Shree Sidhbali Industries Ltd.,BRICKWORK,Non-government debt,B/A4,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Madhav Udyog Pvt. Ltd.,CRISIL,Bank Guarantee,A 2+,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Singhal Industries Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
M M S Infratech Pvt. Ltd.,ICRA,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
M M S Infratech Pvt. Ltd.,ICRA,Non-government debt,B+/A4,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
M M S Infratech Pvt. Ltd.,ICRA,Term loans,B+,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Devrishi Papers Pvt. Ltd.,BRICKWORK,Term loans,C,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Soundarya Decorators Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Soundarya Decorators Pvt. Ltd.,CRISIL,Long term Loans,BB+,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Singhal Industries Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Singhal Industries Pvt. Ltd.,BRICKWORK,Term loans,C,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Simplex Castings Ltd.,CRISIL,Bank Guarantee,A 4+,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Capital Power Systems Ltd.,ACUITE,Term loans,BBB,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Capricorn Food Products India Ltd.,CRISIL,Term loans,BBB-,2025-05-06,402,37,HIGH,Initial Rating,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Shri Mangalam Auto Pvt. Ltd.,CARE,Term loans,B,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Capital Power Systems Ltd.,ACUITE,Bank Guarantee,A 2,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Capital Power Systems Ltd.,ACUITE,Letter Of credit,A 2,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Samhi Hotels Ltd.,ICRA,Term loans,A-,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Samhi Hotels Ltd.,ICRA,Fund based financial facility/instrument,A 2+,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Samhi Hotels Ltd.,ICRA,Non-fund-based financial facility/instrument,A 2+,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Fastenex Pvt. Ltd.,CRISIL,Term loans,A,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
