Company Name,Instrument,Current Rating,Rating Date,Days Since Rating,Days Overdue,Urgency,Outlook,Sector,Current Rater,Why Target,Pitch Angle
Smilax Laboratories Limited,Short Term Non-Fund Based Limits- L.C/B.G/Forward Contracts,-,2018-04-26,2969,2604,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Smilax Laboratories Limited,Long Term Fund Based Facilities- Cash Credit,-,2018-04-26,2969,2604,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Smilax Laboratories Limited,Long-Term Debt- Term Loan,IVR D,2018-04-26,2969,2604,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Indiabulls Mutual Fund,Indiabulls Short Term Fund,IVR AA+mfs (Downgraded from IVR AAAmfs),2018-06-22,2912,2547,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Indiabulls High Yield Fund and Indiabulls Dual Advantage Commercial Asset Fund,Indiabuls Dual Advantage Commercial Asset Fund (IBDACAF),IVR AAA (AIF)(Reaffirmed),2019-01-29,2691,2326,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Indiabulls High Yield Fund and Indiabulls Dual Advantage Commercial Asset Fund,Indiabulls High Yield Fund (IBHYF),IVR AAA (AIF)(Reaffirmed),2019-01-29,2691,2326,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Kukadi Sahakari Sahkar Kharkhana Ltd (KSSKL),Long Term Facility Fund Based  Term Loan,IVR B- (ISSUER NOT COOPERATING),2020-08-25,2117,1752,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Vardhaman Salts Private Limited,Proposed Long Term Bank Facilities,IVR BB (Reaffirmed and Withdraw,2021-02-11,1947,1582,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Unimoni Financial Services Limited,Long Term Fund Based Facility Cash Credit,,2021-04-30,1869,1504,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Unimoni Financial Services Limited,Long Term Fund Based Facility - Working Capital Demand Loan,,2021-04-30,1869,1504,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
