Company Name,Instrument,Rating,Rating Date,Urgency,Outlook,Current Rater,Sector,Why Target
Worldwide Metals Private Limited,Long Term Bank Facility,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Worldwide Metals Private Limited,Short Term Bank Facility,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Oyster Steel and Iron Private Limited,Long Term/ Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Oyster Steel and Iron Private Limited,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Oyster Steel and Iron Private Limited,Long/Short Term Bank Facilities,IVR D; ISSUER NOT COOPERATING,2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Oyster Steel and Iron Private Limited,Short Term Bank Facilities,IVR D; ISSUER NOT COOPERATING,2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Olympus Metal Private Limited,Long Term/ Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Olympus Metal Private Limited,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Draken Metals Trading Private Limited,Long Term/ Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Westwell Iron & Steel Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),2025-04-02,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Westwell Iron & Steel Private Limited,Short Term Bank Facilities,IVR A3 (Upgraded),2025-04-02,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Everest Metals FZE,Long Term Bank Facilities,IVR C (INC)(Reaffirmed),2025-03-27,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Everest Metals FZE,Proposed Long Term Bank Facilities,IVR C (INC)(Reaffirmed),2025-03-27,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Everest Metals FZE,Long Term Fund Based Limits - OD Proposed,IVR C (ISSUER NOT COOPEARTING),2025-03-27,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Chinar Forge Limited,Long Term Bank Facilities,IVR BB+ (Reaffirmed),2025-04-17,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Chinar Forge Limited,Short Term Bank Facility,IVR A4+ (Assigned),2025-04-17,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Metalfab Hightech Private Limited,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-27,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Metalfab Hightech Private Limited,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-27,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
