Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Sector,State,Lead Segment,Why Target,ACER Pitch Angle,Priority Score,Contact Person,Contact Info
4S Spintex India Private Limited,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Reaffirmed),2025-05-23,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
A.V. Agro Foods,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),2023-12-27,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
APRN Enterprises Private Limited,Short Term Non-Fund Based Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-05-09,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
AR Ispat,Long Term Bank Facilities,Infomerics,IVR BB (INC) (Downgraded),2025-05-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
ARM Commercial Services Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-04-30,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Aara Jungle Resortes Private Limited,Long Term Facility - Fund Based - Proposed Term Loan,Infomerics,IVR BB (INC) (Downgraded),2025-03-24,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Abraq Agro Fresh LLP,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-02-19,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Adhikar Microfinance Private Limited,Long Term Bank Facilities- Term Loan,Infomerics,IVR D (INC)(Reaffirmed),2025-04-01,HIGH,BFSI,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Adwalpalkar Construction and Resort Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-04-15,HIGH,Construction,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Agrawal Global Infratech Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-18,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Agri Process Innovations & Technologies LLP,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-04-23,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Ajanta Spintex Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),2022-12-20,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Akanksha Power and Infrastructure Limited (APIL),Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-04-04,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
