Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Capfloat Financial Services Pvt. Ltd.,IND-RA,Term loans,AAA,2026-12-03,LOW,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Canara Bank,CARE,Debentures / Bonds / notes / bills,AAA,2026-12-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Lendingkart Finance Ltd.,IND-RA,Debentures / Bonds / notes / bills,PP-MLD BBB+,2026-12-03,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Edel Finance Co. Ltd.,CRISIL,Debentures / Bonds / notes / bills,PP-MLD A 1+,2026-12-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Caterpillar Financial Services India Pvt. Ltd.,CRISIL,Long term Loans,AAA,2026-12-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Citicorp Finance (India) Ltd.,CRISIL,Short-term loan,A 1+,2026-12-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Ceejay Finance Ltd.,CARE,Non-government debt,BBB-/A3,2026-12-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Uco Bank,CARE,Debentures / Bonds / notes / bills,AA,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Truhome Finance Ltd.,CARE,Fund based financial facility/instrument,AA,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
E C L Finance Ltd.,CRISIL,Debentures / Bonds / notes / bills,A,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Ummeed Housing Finance Pvt. Ltd.,CARE,Term loans,A,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Manappuram Home Finance Ltd.,CARE,Fund based financial facility/instrument,A 1+,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Manappuram Finance Ltd.,CARE,Term loans,AA,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Capfloat Financial Services Pvt. Ltd.,CRISIL,Short-term loan,A 1+,2026-12-01,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Asirvad Micro Finance Ltd.,CARE,Fund based financial facility/instrument,AA-,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Nido Home Finance Ltd.,CRISIL,Long term Loans,A+,2026-12-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Emerald Finance Ltd.,CRISIL,Long term Loans,BBB-,2026-11-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Nuvama Wealth Finance Ltd.,ICRA,Non-government debt,AA/A1+,2026-11-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Rors Finance Pvt. Ltd.,ACUITE,Long term Loans,BB+,2026-11-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I I F L Finance Ltd.,CRISIL,Term loans,AA,2026-11-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I I F L Home Finance Ltd.,ICRA,Debentures / Bonds / notes / bills,PP-MLD AA,2026-11-02,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I I F L Finance Ltd.,ICRA,Long term Loans,AA,2026-11-02,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Hindusthan Microfinance Pvt. Ltd.,CRISIL,Term loans,BB+,2026-11-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Shriram Finance Ltd.,IND-RA,Non-government debt,AAA/A1+,2026-10-04,LOW,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mirae Asset Financial Services (India) Pvt. Ltd.,CRISIL,Term loans,AA+,2026-10-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Fedbank Financial Services Ltd.,CARE,Non-government debt,AA+/A1+,2026-10-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Vridhi Finserv Home Finance Ltd.,CARE,Non-government debt,BBB+/A2,2026-10-03,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
M A S Financial Services Ltd.,CARE,Term loans,AA-,2026-10-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Bajaj Finance Ltd.,IND-RA,Non-government debt,AAA/A1+,2026-10-03,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Fino Payments Bank Ltd.,ICRA,Non-government debt,BBB+/A2+,2026-10-03,LOW,BFSI,Active,Rating Watch,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mpokket Financial Services Pvt. Ltd.,CRISIL,Long term Loans,BBB+,2026-10-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Indian Overseas Bank,CARE,Debentures / Bonds / notes / bills,AA,2026-10-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Shriram Finance Ltd.,CRISIL,Long term Loans,AAA,2026-09-04,LOW,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
H D B Financial Services Ltd.,CARE,Long term Loans,AAA,2026-09-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mpokket Financial Services Pvt. Ltd.,IND-RA,Term loans,A-,2026-09-04,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term loans,BB-,2026-09-04,LOW,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
New Found Properties & Leasing Pvt. Ltd.,CARE,Fund based financial facility/instrument,A-,2026-09-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
