Infomerics Name,d365 Name,Infomerics Normalized,d365 Normalized,Match Score,Match Quality,INF Instrument,INF Rating,INF Rating Date,INF Urgency,Sector,d365 Agency,d365 Instrument,d365 Rating,d365 Rating Date,d365 Urgency,d365 INC,Why Target
Som Distilleries & Breweries Limited,Som Distilleries & Breweries Ltd.,SOM DISTILLERIES & BREWERIES,SOM DISTILLERIES & BREWERIES,100.0,EXACT,Short Term Bank Facilities,IVR A2+ (Assigned),2025-12-30,LOW,Other/Unknown,BRICKWORK,Term loans,B,2025-11-20,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Champion Rolling Mill Private Limited,Champion Rolling Mill Pvt. Ltd.,CHAMPION ROLLING MILL,CHAMPION ROLLING MILL,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-05-22,HIGH,Other/Unknown,IND-RA,Non-fund based working capital limit,A 4+,2025-06-25,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Ranka Jewellers Private Limited,Ranka Jewellers Pvt. Ltd.,RANKA JEWELLERS,RANKA JEWELLERS,100.0,EXACT,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-10-17,MEDIUM,Other/Unknown,CRISIL,Long term Loans,BBB-,2025-12-02,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
K P Solvex Private Limited,K P Solvex Pvt. Ltd.,K P SOLVEX,K P SOLVEX,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (Assigned),2025-05-21,HIGH,Other/Unknown,CARE,Term loans,B,2026-04-20,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
S B P Commercial Private Limited,S B P Commercial Pvt. Ltd.,S B P COMMERCIAL,S B P COMMERCIAL,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (Reaffirmed),2025-11-27,MEDIUM,Other/Unknown,CARE,Bank Guarantee,A 4,2025-11-04,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Arya Steels Rolling (India) Private Limited,Arya Steels Rolling (India) Pvt. Ltd.,ARYA STEELS ROLLING (),ARYA STEELS ROLLING (),100.0,EXACT,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-11-10,MEDIUM,Steel & Metals,CRISIL,Letter Of credit,A 4,2026-04-21,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Prem Cables Private Limited,Prem Cables Pvt. Ltd.,PREM CABLES,PREM CABLES,100.0,EXACT,Short Term Bank Facilities,IVR A2+ (Upgraded),2025-09-24,MEDIUM,Other/Unknown,CARE,Non-government debt,BB+/A4+,2025-11-12,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Vinyas Innovative Technologies Limited,Vinyas Innovative Technologies Ltd.,VINYAS INNOVATIVE TECHNOLOGIES,VINYAS INNOVATIVE TECHNOLOGIES,100.0,EXACT,Short Term Bank Facilities,IVR A3+ (Upgraded and Withdrawn),2026-02-04,LOW,Other/Unknown,ICRA,Non-fund-based financial facility/instrument,A 3,2025-10-23,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Mahalakshmi Profiles Private Limited,Mahalakshmi Profiles Pvt. Ltd.,MAHALAKSHMI PROFILES,MAHALAKSHMI PROFILES,100.0,EXACT,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-09-29,MEDIUM,Other/Unknown,BRICKWORK,Bank Guarantee,A 4,2025-07-08,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
J B Rolling Mills Limited,J B Rolling Mills Ltd.,J B ROLLING MILLS,J B ROLLING MILLS,100.0,EXACT,Short Term Bank Facilities- Letter of Credit,IVR A3+ (Assigned),2025-03-04,HIGH,Other/Unknown,CRISIL,Letter Of credit,A 2,2026-04-10,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
