Company Name,Agencies Used,Agency Count,Last Rating Date,Rating,Instrument,Urgency,Last Rating Urgency,Sector,INC_Flag,Why Target,Pitch Angle
Bank Of India,ACUITE | BRICKWORK | CARE | CRISIL | ICRA | IND-RA,6,2026-02-05,AA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 6 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Punjab National Bank,BRICKWORK | CARE | CRISIL | ICRA | IND-RA,5,2025-12-15,AA+,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 5 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
India Infrastructure Finance Co. Ltd.,BRICKWORK | CARE | CRISIL | ICRA | IND-RA,5,2026-01-27,AAA,Debentures / Bonds / notes / bills,LOW,LOW,Infrastructure,N,Uses 5 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shivam Motors Pvt. Ltd.,ACUITE | CARE | CRISIL | ICRA | IND-RA,5,2026-01-30,C,Fund based financial facility/instrument,LOW,LOW,Other/Unknown,N,Uses 5 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Union Bank Of India,BRICKWORK | CARE | CRISIL | ICRA | IND-RA,5,2026-03-26,AAA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 5 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
National Housing Bank,ACUITE | CARE | CRISIL | ICRA | IND-RA,5,2026-04-01,AAA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 5 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Indian Renewable Energy Devp. Agency Ltd.,ACUITE | BRICKWORK | CARE | ICRA | IND-RA,5,2026-04-16,A 1+,Short-term loan,LOW,LOW,Infrastructure,N,Uses 5 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Yes Bank Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-08-19,AA-,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tata Power Renewable Energy Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-08-25,AA+,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Simplex Castings Ltd.,BRICKWORK | CARE | CRISIL | IND-RA,4,2025-09-09,C,Bank Guarantee,MEDIUM,MEDIUM,Steel & Metals,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
I D B I Bank Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-09-19,AA,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jammu & Kashmir Bank Ltd.,BRICKWORK | CARE | CRISIL | IND-RA,4,2025-09-30,AA-,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Punjab & Sind Bank,BRICKWORK | CARE | CRISIL | IND-RA,4,2025-10-07,AA,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bobcard Ltd.,ACUITE | CRISIL | ICRA | IND-RA,4,2025-10-13,AAA/A1+,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
