Company Name (Infomerics),Company Name (d365),Sector,Match Score,Match Quality,Infomerics Rating,Infomerics Last Date,Infomerics Instrument,d365 Agency,d365 Rating,d365 Last Date,Urgency,Why Target,ACER Pitch
4S Spintex India Private Limited,4S Spintex India Pvt. Ltd.,Other/Unknown,82.75862068965517,MEDIUM,IVR B- (INC)(Reaffirmed),2025-05-23,Long Term Bank Facilities,"CARE, IND-RA",B-,2025-07-05,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Adwalpalkar Construction and Resort Private Limited,Adwalpalkar Constructions & Resorts Pvt. Ltd.,Construction,81.25,MEDIUM,IVR BB- (INC)(Downgraded),2025-04-15,Long Term Bank Facilities,ACUITE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Agrawal Global Infratech Private Limited,Agrawal Global Infratech Pvt. Ltd.,Infrastructure,86.48648648648648,MEDIUM,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-18,Long Term Bank Facilities,"ACUITE, CRISIL",A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Ajanta Spintex Private Limited,Ajanta Spintex Pvt. Ltd.,Other/Unknown,81.4814814814815,MEDIUM,IVR B (INC)(Reaffirmed and Withdrawn),2022-12-20,Long Term Bank Facilities,"ACUITE, CARE, CRISIL",B,2026-12-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Alok Buildtech Private Limited,Alok Buildtech Pvt. Ltd.,Other/Unknown,81.4814814814815,MEDIUM,IVR B+ (INC)(Downgraded),2025-05-06,Long Term Bank Facilities,"ACUITE, CRISIL",A 4,2026-06-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Amarpali Cylinders Private Limited,Amarpali Cylinders Pvt. Ltd.,Other/Unknown,83.87096774193549,MEDIUM,IVR B- (INC)(Downgraded),2025-10-22,Long Term Bank Facilities,"CARE, CRISIL",A 4,2026-12-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Anadrone Systems Private Limited,Anadrone Systems Pvt. Ltd.,Other/Unknown,82.75862068965517,MEDIUM,IVR BB+ (INC)(Downgraded),2025-03-19,Long Term Bank Facilities,IND-RA,B-/A4,2025-11-09,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Anil Trading India Private Limited,Anil Trading India Pvt. Ltd.,Trading,83.87096774193549,MEDIUM,IVR B+ (INC) (Downgraded),2026-01-21,Long Term Bank Facilities,BRICKWORK,A 4,2025-11-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Arya Steels Rolling (India) Private Limited,Arya Steels Rolling (India) Pvt. Ltd.,Steel & Metals,87.5,MEDIUM,IVR BB+ (INC)(Downgraded),2025-11-10,Long Term Bank Facilities,"BRICKWORK, CARE, CRISIL",A 4,2026-10-04,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Astron Paper & Board Mill Limited,Astron Paper & Board Mill Ltd.,Other/Unknown,92.06349206349206,HIGH,IVR D (INC) (Reaffirmed),2026-01-14,Long Term Facilities,CARE,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
