Sector,Count,ULTRA_HIGH_Count,Avg_Priority_Score,HIGH_Quality_Matches,MEDIUM_Quality_Matches,Sample_Companies,Pct_of_160
Other/Unknown,84,84,100.0,11,73,4S Spintex India Private Limited | Ajanta Spintex Private Limited | Alok Buildtech Private Limited,52.5
Infrastructure,24,24,100.0,2,22,Agrawal Global Infratech Private Limited | Balaji Dayalpura Infra Private Limited | Earth Water Limited,15.0
Agro/Food,14,14,100.0,0,14,Farm India Impex Private Limited | Gem Sugars Limited | India Mega Agro Anaj Limited,8.8
Steel & Metals,10,10,100.0,1,9,Arya Steels Rolling (India) Private Limited | Chintpurni Steel Private Limited | Deccan Ferro Alloys Private Limited,6.2
Textiles,8,8,100.0,0,8,Kalpataruvu Spinning Mills Private Limited | Nova Textiles Private Limited | Paragon Apparel Private Limited,5.0
Construction,6,6,100.0,0,6,Adwalpalkar Construction and Resort Private Limited | Bharath Hi-Tecch Builders Private Limited | Goodwill Advance Construction Company Private Limited,3.8
Healthcare,5,5,100.0,0,5,Nayati Healthcare & Research Private Limited | Shrivallabh Pittie Industries Limited | Sparsh Hospitals & Critical Care Private Limited,3.1
BFSI,3,3,100.0,1,2,Glowmore Finance Private Limited | Navachetana Microfinance Services Private Limited | Sustainable Agro-Commercial Finance Limited,1.9
Chemicals,2,2,100.0,1,1,Auro Impex & Chemicals Limited | Melzer Chemicals Private Limited,1.2
Logistics,2,2,100.0,0,2,Bhavani Shipping Services (India) Private Limited | Sindhu Cargo Services Private Limited,1.2
Trading,2,2,100.0,0,2,Anil Trading India Private Limited | Chrysalis Trading Private Limited,1.2
