Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Sector,Lead Segment,Infrastructure Sub-Sector,Why Target,ACER Pitch Angle,Priority Score
Agrawal Global Infratech Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-18,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Akanksha Power and Infrastructure Limited (APIL),Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-04-04,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Armco Infra Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-06-02,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Arrow Powertech Private Limited,Proposed Short Term Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-02-03,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Balaji Dayalpura Infra Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-01-06,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Chaitanya Energy Private Limited,Short Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-10,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Enviro Infra Engineers Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-07-19,HIGH,Infrastructure,INC — Not Cooperating,Construction/EPC,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Everrenew Energy Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-26,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
G M Sugar and Energy Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-02-14,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
H S Mehta Infra Private Limited,Short Term Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-03-25,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
