Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC Flag,Sub-Sector,Sector,State,Facility Size,Outlook,Source,Why Target,ACER Pitch
A N S Constructions Pvt. Ltd.,Bank Guarantee,CRISIL,D,2025-05-14,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
A N S Constructions Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-14,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
A N S Constructions Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-05-23,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ACUITE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
A N S Constructions Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-05-23,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ACUITE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Adwalpalkar Construction and Resort Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-04-15,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 58.00 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Aishwaryagiri Constructions Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-08,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ajay Builders Engineers & Construction Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-05-19,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ACUITE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Aliens Developers Pvt. Ltd.,Bank Guarantee,CRISIL,D,2025-05-30,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Aliens Developers Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-30,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Alok Buildtech Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-05-06,HIGH,Y,Construction — General,Construction,,Rs. 10.00 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Alok Buildtech Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-05-06,HIGH,Y,Construction — General,Construction,,Rs. 20.00 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ambuj Hotel & Real Estate Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-05-21,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ambuj Hotel & Real Estate Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-05-21,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ambuj Hotel & Real Estate Pvt. Ltd.,Term loans,CRISIL,BB+,2025-05-21,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Andhra Pradesh Township & Infrastructure Devp. Corpn. Ltd.,Term loans,BRICKWORK,BB-,2025-06-05,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Anil Buildcon (India) Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-13,HIGH,Y,Construction — General,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ansal Buildwell Ltd.,Bank Guarantee,BRICKWORK,D,2025-05-21,HIGH,Y,Construction — General,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ansal Buildwell Ltd.,Term loans,BRICKWORK,D,2025-05-21,HIGH,Y,Construction — General,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Armco Infra Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-06-02,HIGH,Y,Building Materials — Cement/Concrete,Construction,,Rs. 35.00 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
