Company Name,Current Rater,Renewal Due,INC Flag,Sector,Urgency,Why Target,ACER Pitch Angle
20 Microns Ltd.,CRISIL,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
20 Microns Nano Minerals Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
360 One Portfolio Managers Ltd.,ICRA,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
360 One Prime Ltd.,"CARE, ICRA",August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
360 One Wam Ltd.,ICRA,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
3D Technopack Pvt. Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
3S Minerals Processors Private Limited,Infomerics,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
5Paisa Capital Ltd.,CRISIL,August 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
A & A Developers,Infomerics,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
A & T Infracon Pvt. Ltd.,IND-RA,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
A B C I Infrastructures Pvt. Ltd.,CRISIL,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
A B C India Ltd.,CARE,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
A B J A Power Pvt. Ltd.,IND-RA,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
