Year,Month,Month_Name,Infomerics_Count,D365_Count,Total
2023,1,January,25,0,25
2023,2,February,26,0,26
2023,3,March,19,0,19
2023,4,April,7,0,7
2023,5,May,45,0,45
2023,6,June,33,0,33
2023,7,July,9,0,9
2023,8,August,13,0,13
2023,9,September,11,0,11
2023,10,October,26,0,26
2023,11,November,14,0,14
2023,12,December,18,0,18
2024,1,January,50,0,50
2024,2,February,48,0,48
2024,3,March,20,0,20
2024,4,April,11,0,11
2024,5,May,17,0,17
2024,6,June,13,0,13
2024,7,July,13,0,13
2024,8,August,30,0,30
2024,9,September,24,0,24
2024,10,October,23,0,23
2024,11,November,65,0,65
2024,12,December,190,0,190
2025,1,January,357,0,357
2025,2,February,423,0,423
2025,3,March,697,0,697
2025,4,April,510,0,510
2025,5,May,487,3399,3886
2025,6,June,469,3941,4410
2025,7,July,603,4993,5596
2025,8,August,482,3863,4345
2025,9,September,667,4798,5465
2025,10,October,425,4141,4566
2025,11,November,482,3645,4127
2025,12,December,764,4335,5099
2026,1,January,654,3995,4649
2026,2,February,274,3725,3999
2026,3,March,0,4577,4577
2026,4,April,0,4491,4491
2026,5,May,0,40,40
