Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Shree Sidhbali Industries Ltd.,Non-government debt,BRICKWORK,B/A4,06-05-2025,HIGH,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Devrishi Papers Pvt. Ltd.,Term loans,BRICKWORK,C,06-05-2025,HIGH,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Northern Electric Cables Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,06-05-2025,HIGH,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Nexo Industries Pvt. Ltd.,Letter Of credit,CARE,A 4,06-05-2025,HIGH,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Best Koki Automotive Pvt. Ltd.,Long term Loans,ACUITE,BB+,06-05-2025,HIGH,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Hillman Hosiery Mills Private Limited,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),"May 8, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Rubber King Tyre Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,06-05-2025,HIGH,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Modern Automotives Ltd.,Bank Guarantee,BRICKWORK,A 4,07-05-2025,HIGH,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Meru Automobiles Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,C,07-05-2025,HIGH,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Induss Food Products & Equipments Ltd.,Fund based financial facility/instrument,CRISIL,BB+,08-05-2025,HIGH,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
HMA Agro Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),"June 19, 2023",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Anusaya Poly Products Industries,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),"April 1, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),"May 19, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Finolite Ceramic,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 19, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
HMA Agro Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),"June 19, 2023",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Anusaya Poly Products Industries,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),"April 1, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
NRC Industries Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"May 5, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
NRC Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 5, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Manaksia Coated Metals & Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),"April 18, 2023",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Moksha Thermoplastics Private Limited,Long Term Facilities,Infomerics,IVR B+ (INC)(Downgraded),"March 6, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Moksha Thermoplastics Private Limited,Short Term Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"March 6, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Kataria Automobiles Private Limited (KAPL),Long Term Fund based facilities - Cash Credit,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 10, 2023",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Kataria Automobiles Private Limited (KAPL),Long Term Fund based facilities - Term Loan,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 10, 2023",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Kataria Automobiles Private Limited (KAPL),Short Term Fund based facilities - Bank Guarantee,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),"February 10, 2023",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
M. M. Industries,Long Term Facilities,Infomerics,IVR C+ (INC)(Downgraded),"January 27, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
M. M. Industries,Short Term Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"January 27, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
NS Engineering Company Private Limited,Long Term Bank Facility,Infomerics,IVR B+ (INC)(Downgraded),"January 6, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
NS Engineering Company Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"January 6, 2025",HIGH,Y,Manufacturing,INC with Infomerics — not cooperating; switch to ACER,INC status blocks bank facilities; ACER can restart rating process in 2-3 weeks
Peaton Electrical Co. Ltd.,Bank Guarantee,CRISIL,A 4,30-05-2025,HIGH,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Industrial Progressive (India) Ltd.,Term loans,CARE,D,30-05-2025,HIGH,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Podder & Podder (Equipment & Project) Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,A 4,30-05-2025,HIGH,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
