Company Name,Current Rating Agency,Instrument Type,Rating,Rating Date,Days Since Rating,Urgency,INC,Amount (Cr),Sector,Why Target,ACER Pitch Angle
Sri Siddheshwar Engineers India Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-06,404,HIGH,YES,12.00,Other/Diversified,"Brickwork INC — mandate lapsed 404d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Isotex Corporation Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-06,404,HIGH,YES,3.00,Other/Diversified,"Brickwork INC — mandate lapsed 404d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Singhal Industries Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-06,404,HIGH,YES,,Manufacturing,"Brickwork INC — mandate lapsed 404d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
M A Sarsinsa Steels Pvt. Ltd.,Brickwork,Letter Of credit,D,2025-05-06,404,HIGH,YES,5.00,Steel & Metals,"Brickwork INC — mandate lapsed 404d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Shree Sidhbali Industries Ltd.,Brickwork,Non-government debt,B/A4,2025-05-06,404,HIGH,YES,17.00,Manufacturing,"Brickwork INC — mandate lapsed 404d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
P & S Jewellery Ltd.,Brickwork,Fund based financial facility/instrument,D,2025-05-06,404,HIGH,YES,75.00,Other/Diversified,"Brickwork INC — mandate lapsed 404d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Devrishi Papers Pvt. Ltd.,Brickwork,Term loans,C,2025-05-06,404,HIGH,YES,7.50,Other/Diversified,"Brickwork INC — mandate lapsed 404d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Mehar Steels Pvt. Ltd.,Brickwork,Term loans,D,2025-05-07,403,HIGH,YES,6.50,Steel & Metals,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Geeta Refinery Pvt. Ltd.,Brickwork,Term loans,D,2025-05-07,403,HIGH,YES,4.97,Other/Diversified,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
K S A Powerinfra Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-07,403,HIGH,YES,3.00,Infrastructure,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
