Company Name,Instrument Type,Current Rater,Rating,Rating Date,Days Since Rating,Renewal Month,INC,Switchability,Why Target,ACER Pitch Angle
Bhopal Switch Gears Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Capital Power Infrastructure Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Civtect (India) Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Globe Enterprises (India) Ltd.,Letter Of credit,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
International Tubes India Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Keshav Holiday Resort Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,C,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Orient Ispat Pvt. Ltd.,Bank Guarantee,BRICKWORK,BB-,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Pandit Automobiles Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Prakash Road Lines Corpn. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Robbins Tunneling & Trenchless Technology (India) Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
Elite Contractors (Chennai) Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,03-06-2025,376,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 03-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK
