Company Name,Instrument Type,Current Rater,Rating,Rating Date,Days Since Rating,Renewal Month,INC,Switchability,Why Target,ACER Pitch Angle,Detected State,Region
Bhopal Switch Gears Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Madhya Pradesh,Central
Capital Power Infrastructure Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Civtect (India) Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Globe Enterprises (India) Ltd.,Letter Of credit,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
International Tubes India Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Keshav Holiday Resort Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,C,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Orient Ispat Pvt. Ltd.,Bank Guarantee,BRICKWORK,BB-,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Pandit Automobiles Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Prakash Road Lines Corpn. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Robbins Tunneling & Trenchless Technology (India) Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,02-06-2025,377,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 02-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Elite Contractors (Chennai) Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,03-06-2025,376,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 03-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Tamil Nadu,South
F S Housing Pvt. Ltd.,Term loans,BRICKWORK,C,03-06-2025,376,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 03-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
Greenchef Appliances Ltd.,Non-fund-based financial facility/instrument,BRICKWORK,A 4,03-06-2025,376,June 2026,Y,HIGH — Brickwork (direct competitor),"INC with BRICKWORK — rated 03-06-2025, renewal due June 2026",INC blocking bank/bond facilities; ACER can restart rating — faster than BRICKWORK,Unknown,Unknown
