Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,Sector,State,INC,Why Target,ACER Pitch Angle
Hillman Hosiery Mills Private Limited,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),"May 8, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Sun Paper Mill Limited,Proposed Long Term Bank Facility - Proposed Term Loan,Infomerics,IVR B (INC)(Downgraded),"April 2, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Sun Paper Mill Limited,Proposed Long Term Bank Facility - Proposed Term Loan,Infomerics,IVR B (INC)(Downgraded),"April 2, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Sun Paper Mill Limited,Long Term Fund Based Bank Facility - OCC,Infomerics,IVR B (INC)(Downgraded),"April 2, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Sun Paper Mill Limited,Short Term Non-Fund Based Bank Facility - Letter of Credit,Infomerics,IVR A4 (INC)(Reaffirmed),"April 2, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Deccan Ferro Alloys Private Limited,Long Term Fund Based Facility,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),"January 8, 2022",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Deccan Ferro Alloys Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),"January 8, 2022",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),"May 19, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Finolite Ceramic,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 19, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
HMA Agro Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),"June 19, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Anusaya Poly Products Industries,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),"April 1, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),"May 19, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Finolite Ceramic,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 19, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
HMA Agro Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),"June 19, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Anusaya Poly Products Industries,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),"April 1, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
NRC Industries Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"May 5, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
NRC Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 5, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Manaksia Coated Metals & Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),"April 18, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Moksha Thermoplastics Private Limited,Long Term Facilities,Infomerics,IVR B+ (INC)(Downgraded),"March 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Moksha Thermoplastics Private Limited,Short Term Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"March 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Kataria Automobiles Private Limited (KAPL),Long Term Fund based facilities - Cash Credit,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 10, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Kataria Automobiles Private Limited (KAPL),Long Term Fund based facilities - Term Loan,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 10, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Kataria Automobiles Private Limited (KAPL),Short Term Fund based facilities - Bank Guarantee,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),"February 10, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
M. M. Industries,Long Term Facilities,Infomerics,IVR C+ (INC)(Downgraded),"January 27, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
