Agency,Instrument Family,Total,INC,INC Rate (%)
ACUITE,Capital Market / Structured Finance,61,0,0.0
ACUITE,Long-Term Loans / Project Finance,2580,1006,39.0
ACUITE,Short-Term / Fund-Based Limits,1994,920,46.1
Agency,General / Other,1,0,0.0
BRICKWORK,Capital Market / Structured Finance,167,89,53.3
BRICKWORK,General / Other,1,1,100.0
BRICKWORK,Long-Term Loans / Project Finance,1338,1152,86.1
BRICKWORK,Short-Term / Fund-Based Limits,2711,2244,82.8
CARE,Capital Market / Structured Finance,3660,553,15.1
CARE,Long-Term Loans / Project Finance,4058,1177,29.0
CARE,Short-Term / Fund-Based Limits,3302,1290,39.1
CRISIL,Capital Market / Structured Finance,506,6,1.2
CRISIL,General / Other,1,0,0.0
CRISIL,Long-Term Loans / Project Finance,8556,3299,38.6
CRISIL,Short-Term / Fund-Based Limits,9486,3480,36.7
ICRA,Capital Market / Structured Finance,2104,349,16.6
ICRA,Long-Term Loans / Project Finance,2012,651,32.4
ICRA,Short-Term / Fund-Based Limits,2244,687,30.6
IND-RA,Capital Market / Structured Finance,1363,674,49.4
IND-RA,Long-Term Loans / Project Finance,2531,664,26.2
IND-RA,Short-Term / Fund-Based Limits,1268,368,29.0
