Instrument Family,Source,Total Instruments,Unique Companies,INC Instruments,INC Rate (%),HIGH Urgency,MEDIUM Urgency,HIGH Urgency Rate (%)
Issuer / Entity Rating,Infomerics,23,22,6,26.1,15,7,65.2
Long-Term / Fund-Based,D365,27787,2,0,0.0,2972,14535,10.7
Long-Term / Fund-Based,Infomerics,4590,3805,1116,24.3,2077,1802,45.3
Other / General,D365,6337,3,0,0.0,382,3122,6.0
Other / General,Infomerics,46,42,4,8.7,23,11,50.0
Short-Term Instruments,D365,14293,2,0,0.0,1587,7593,11.1
Short-Term Instruments,Infomerics,3532,2624,873,24.7,1587,1384,44.9
Structured Finance / Capital Market,D365,1527,2,0,0.0,141,828,9.2
Structured Finance / Capital Market,Infomerics,247,159,29,11.7,98,100,39.7
Unknown,D365,1,0,0,0.0,0,0,0.0
