Company Name,Current Raters,Rater Count,Instrument,Rating,Last Rating Date,Days Since Rating,Urgency,INC Flag,Sector,Call Today Reason,ACER Pitch Angle
Phadnis Clinic Pvt. Ltd.,CRISIL | IND-RA,2,Term loans,B+,2025-05-15,396,HIGH,YES,Healthcare,INC — 396 days overdue | Sector: Healthcare,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Emperor Foodex Ltd.,BRICKWORK,1,Letter Of credit,A 4,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Indrajit Power Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,D,2025-05-15,396,HIGH,YES,Infrastructure,INC — 396 days overdue | Sector: Infrastructure,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Jabalpur Hospital & Research Centre Pvt. Ltd.,CRISIL,1,Term loans,B-,2025-05-15,396,HIGH,YES,Healthcare,INC — 396 days overdue | Sector: Healthcare,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Jai Surgicals Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kamal Coach Works Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Khedaria Ispat Ltd.,CRISIL,1,Long term Loans,B,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kun United Motors Pvt. Ltd.,CRISIL,1,Fund based financial facility/instrument,B,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Macbrout Engineering Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-15,396,HIGH,YES,Manufacturing,INC — 396 days overdue | Sector: Manufacturing,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Mahaluxmi Processing House Pvt. Ltd.,ACUITE,1,Term loans,B+,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Navachetana Microfin Services Pvt. Ltd.,ACUITE,1,Term loans,D,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Noida Software Technology Park Ltd.,BRICKWORK,1,Bank Guarantee,D,2025-05-15,396,HIGH,YES,IT/Software,INC — 396 days overdue | Sector: IT/Software,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Perfect Alloys & Steel Ltd.,BRICKWORK,1,Term loans,C-,2025-05-15,396,HIGH,YES,Steel/Metals,INC — 396 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
