Company Name,All Instruments,Latest Instrument,Current Rater(s),Latest Rater,Rater Count,Rating,Rating Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Geographic Cluster,Why Target,ACER Pitch Angle
Shubham Cotton Mills Pvt. Ltd.,Term loans,Term loans,BRICKWORK | CRISIL,BRICKWORK,2,C,Reaffirmed,2025-06-11,HIGH,6,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Multi-agency — already comfortable with multiple raters | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Arora Knit Fab Pvt. Ltd.,Term loans,Term loans,CARE,CARE,1,D,Reaffirmed,2025-05-12,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Indigo Denim Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK,BRICKWORK,1,D,Reaffirmed,2025-05-19,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Jolly Spinning Mills Pvt. Ltd.,Bank Guarantee | Non-fund-based financial facility/instrument | Term loans,Bank Guarantee,BRICKWORK,BRICKWORK,1,A 4,Reaffirmed,2025-06-11,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
K R V Spinning Mills Pvt. Ltd.,Long term Loans,Long term Loans,CRISIL,CRISIL,1,B+,Reaffirmed,2025-05-19,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Madhur Knit Crafts Ltd.,Bank Guarantee | Non-government debt | Term loans,Bank Guarantee,CARE,CARE,1,A 4,Reaffirmed,2025-05-13,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Mahabir Jute Mills Ltd.,Bank Guarantee,Bank Guarantee,BRICKWORK,BRICKWORK,1,A 4,Reaffirmed,2025-06-05,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Omkar Textile Mills Pvt. Ltd.,Term loans,Term loans,BRICKWORK,BRICKWORK,1,C,Reaffirmed,2025-05-29,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Oswal Knitting & Spinning Inds. Ltd.,Letter Of credit,Letter Of credit,CARE,CARE,1,D,Reaffirmed,2025-06-02,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
P V R Spinning & Wvg. Ltd.,Bank Guarantee | Long term Loans,Bank Guarantee,CRISIL,CRISIL,1,A 4,Reaffirmed,2025-06-12,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Prasad Cotton Inds. Pvt. Ltd.,Long term Loans,Long term Loans,CRISIL,CRISIL,1,B,Reaffirmed,2025-05-29,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Shri Annalakshmi Spinning Pvt. Ltd.,Letter Of credit,Letter Of credit,BRICKWORK,BRICKWORK,1,A 4,Reaffirmed,2025-05-21,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
Sohrab Spinning Mills Ltd.,Letter Of credit | Long term Loans | Term loans,Letter Of credit,CRISIL,CRISIL,1,D,Reaffirmed,2025-06-12,HIGH,5,YES,Textiles,Other,"INC — rater relationship broken | Rating overdue (>12 months) | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)"
