Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
A N S Constructions Pvt. Ltd.,ACUITE | CRISIL,2,ACUITE,Bank Guarantee | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-05-23,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Amrit Exports Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-28,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Arabian Petroleum Ltd.,CARE | IND-RA,2,CARE,Term loans,Term loans,BB-,Reaffirmed,2025-06-13,HIGH,6,YES,Infrastructure,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Ashoka Distillers & Chemicals Pvt. Ltd.,CRISIL | ICRA,2,ICRA,Long term Loans | Non-government debt | Term loans,Non-government debt,B+/A4,Reaffirmed,2025-05-28,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Avadhoot Project Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Bank Guarantee | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-05-21,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Ayoki Fabricon Pvt. Ltd.,IND-RA | Infomerics,2,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,A 3+,Initial Rating,2025-05-09,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Bhrunda Infra Pvt. Ltd.,ACUITE | Infomerics,2,ACUITE,Bank Guarantee,Bank Guarantee,A 4+,Withdrawn,2025-05-27,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Blue Whale Machinery Technologies Pvt. Ltd.,ACUITE | CRISIL,2,CRISIL,Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument,Fund based financial facility/instrument,D,Reaffirmed,2025-05-29,HIGH,6,YES,Manufacturing,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Capital Power Systems Ltd.,ACUITE | Infomerics,2,ACUITE,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 2,Reaffirmed,2025-05-06,HIGH,6,YES,BFSI,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Celebi Delhi Cargo Terminal Mgmt. India Pvt. Ltd.,CARE | ICRA,2,CARE,Term loans,Term loans,A,Withdrawn,2025-05-22,HIGH,6,YES,Logistics,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Chrysalis Trading Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Non-government debt,Non-government debt,D,Reaffirmed,2025-05-27,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Deepika Infratech Pvt. Ltd.,ACUITE | CRISIL,2,ACUITE,Bank Guarantee,Bank Guarantee,D,Reaffirmed,2025-05-23,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Divine Motors Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Term loans,Term loans,B+,Downgraded,2025-06-09,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Eastern Power Distribution Co. Of Andhra Pradesh Ltd.,CRISIL | Infomerics,2,CRISIL,Letter Of credit | Long term Loans,Letter Of credit,A 4,Downgraded,2025-06-13,HIGH,6,YES,Infrastructure,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Emcer Tiles Pvt. Ltd.,CRISIL | Infomerics,2,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,A 4+,Withdrawn,2025-05-13,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Fex Foundry Alloys Pvt. Ltd.,CRISIL | Infomerics,2,CRISIL,Letter Of credit | Long term Loans,Letter Of credit,A 4+,Reaffirmed,2025-06-09,HIGH,6,YES,Steel/Metals,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Gagan Ferrotech Ltd.,ACUITE | Infomerics,2,ACUITE,Bank Guarantee | Letter Of credit | Long term Loans,Long term Loans,A+,Withdrawn,2025-05-30,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Gainwell Engineering Pvt. Ltd.,CARE | Infomerics,2,CARE,Non-government debt | Term loans,Non-government debt,BB+/A4,Withdrawn,2025-06-02,HIGH,6,YES,Manufacturing,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
