Region,Sector,Companies,INC,HIGH,INC_Rate,HIGH_Rate
East,Healthcare,5,5,2,100.0,40.0
South,Textiles,4,3,0,75.0,0.0
Central,Other,21,14,1,66.7,4.8
North,Agro/Food,3,2,0,66.7,0.0
West,Logistics,3,2,1,66.7,33.3
West,Manufacturing,11,7,4,63.6,36.4
South,Manufacturing,9,5,1,55.6,11.1
South,Agro/Food,4,2,1,50.0,25.0
North,Other,99,43,11,43.4,11.1
East,Other,34,13,4,38.2,11.8
North,Steel/Metals,8,3,1,37.5,12.5
East,Steel/Metals,6,2,1,33.3,16.7
South,IT/Software,3,1,0,33.3,0.0
West,Agro/Food,3,1,0,33.3,0.0
South,Other,100,33,11,33.0,11.0
West,Other,104,34,11,32.7,10.6
South,Infrastructure,50,15,6,30.0,12.0
West,Construction,13,3,3,23.1,23.1
South,Construction,15,3,2,20.0,13.3
North,Logistics,5,1,2,20.0,40.0
North,Construction,13,2,0,15.4,0.0
Central,Infrastructure,7,1,0,14.3,0.0
South,BFSI,10,1,3,10.0,30.0
West,Infrastructure,34,2,1,5.9,2.9
East,Infrastructure,18,1,3,5.6,16.7
North,Infrastructure,45,2,1,4.4,2.2
North,BFSI,5,0,2,0.0,40.0
East,Construction,4,0,2,0.0,50.0
West,BFSI,4,0,0,0.0,0.0
West,Steel/Metals,4,0,1,0.0,25.0
South,Logistics,3,0,0,0.0,0.0
