Sector,Total_Companies,INC_Companies,HIGH_Urgency,MEDIUM_Urgency,Multi_Agency,Avg_Rater_Count,INC_Rate,Multi_Agency_Rate,HIGH_Rate,Volume_Score,Opportunity_Score
Other,14166,6705,1826,6331,2774,1.230552025977693,47.3,19.6,12.9,10.0,4.07
Textiles,336,214,32,164,85,1.2916666666666667,63.7,25.3,9.5,0.2,3.24
Agro/Food,812,478,122,362,163,1.2413793103448276,58.9,20.1,15.0,0.6,3.2
Steel/Metals,555,271,104,227,135,1.300900900900901,48.8,24.3,18.7,0.4,2.94
Manufacturing,1473,715,187,678,292,1.2260692464358451,48.5,19.8,12.7,1.0,2.77
Chemicals/Pharma,139,69,10,71,24,1.20863309352518,49.6,17.3,7.2,0.1,2.47
IT/Software,265,117,34,117,50,1.2188679245283018,44.2,18.9,12.8,0.2,2.47
Healthcare,371,163,46,177,67,1.2075471698113207,43.9,18.1,12.4,0.3,2.44
Education,70,21,22,24,9,1.1428571428571428,30.0,12.9,31.4,0.0,2.34
Construction,702,253,122,326,119,1.2179487179487178,36.0,17.0,17.4,0.5,2.29
Logistics,139,56,16,59,29,1.2302158273381294,40.3,20.9,11.5,0.1,2.29
Hotels/Tourism,84,32,10,34,8,1.1071428571428572,38.1,9.5,11.9,0.1,2.04
Infrastructure,1225,281,121,513,262,1.2620408163265306,22.9,21.4,9.9,0.9,1.67
BFSI,581,86,60,203,231,1.6024096385542168,14.8,39.8,10.3,0.4,1.56
