Sector,Total Companies,Single Agency,Multi Agency (2+),Single Agency %,INC Companies,INC Rate %,HIGH Urgency,HIGH Urgency %,MEDIUM Urgency,Num Agencies,Top Agency,Top Agency Share %,ACER Vulnerability Score,Entry Opportunity Index
Agro/Food,812,649,163,79.9,478,58.9,122,15.0,362,7,CRISIL,28.4,52.0,1127
Textiles,336,251,85,74.7,214,63.7,32,9.5,164,7,CRISIL,30.4,50.7,465
Steel/Metals,555,420,135,75.7,271,48.8,104,18.7,227,7,CRISIL,30.1,47.9,691
Education,70,61,9,87.1,21,30.0,22,31.4,24,7,Infomerics,36.2,47.6,82
Manufacturing,1473,1181,292,80.2,715,48.5,187,12.7,678,7,CRISIL,31.0,47.3,1896
Other,14166,11392,2774,80.4,6705,47.3,1826,12.9,6331,8,CRISIL,28.7,46.9,18097
Chemicals/Pharma,139,115,24,82.7,69,49.6,10,7.2,71,7,CRISIL,31.5,46.8,184
Hotels/Tourism,84,76,8,90.5,32,38.1,10,11.9,34,7,CRISIL,24.7,46.0,108
Healthcare,371,304,67,81.9,163,43.9,46,12.4,177,7,CRISIL,31.7,45.9,467
IT/Software,265,215,50,81.1,117,44.2,34,12.8,117,7,CRISIL,29.7,45.8,332
Construction,702,583,119,83.0,253,36.0,122,17.4,326,7,CARE,21.3,44.5,836
Logistics,139,110,29,79.1,56,40.3,16,11.5,59,7,CRISIL,26.9,43.3,166
Infrastructure,1225,963,262,78.6,281,22.9,121,9.9,513,7,CARE,26.1,35.7,1244
BFSI,581,350,231,60.2,86,14.8,60,10.3,203,7,CRISIL,23.2,27.1,436
