Sector,Agency,Companies Rated,Sector Total,Agency Share %
Agro/Food,CRISIL,286,812,35.2
Agro/Food,Infomerics,212,812,26.1
Agro/Food,CARE,165,812,20.3
Agro/Food,BRICKWORK,97,812,11.9
Agro/Food,IND-RA,97,812,11.9
Agro/Food,ICRA,83,812,10.2
Agro/Food,ACUITE,68,812,8.4
BFSI,CRISIL,216,581,37.2
BFSI,CARE,192,581,33.0
BFSI,ICRA,146,581,25.1
BFSI,Infomerics,141,581,24.3
BFSI,IND-RA,118,581,20.3
BFSI,ACUITE,83,581,14.3
BFSI,BRICKWORK,35,581,6.0
Chemicals/Pharma,CRISIL,53,139,38.1
Chemicals/Pharma,CARE,34,139,24.5
Chemicals/Pharma,Infomerics,22,139,15.8
Chemicals/Pharma,IND-RA,20,139,14.4
Chemicals/Pharma,BRICKWORK,16,139,11.5
Chemicals/Pharma,ACUITE,13,139,9.4
Chemicals/Pharma,ICRA,10,139,7.2
Construction,CARE,182,702,25.9
Construction,Infomerics,181,702,25.8
Construction,CRISIL,169,702,24.1
Construction,IND-RA,117,702,16.7
Construction,BRICKWORK,78,702,11.1
Construction,ICRA,74,702,10.5
Construction,ACUITE,54,702,7.7
Education,Infomerics,29,70,41.4
Education,CRISIL,16,70,22.9
Education,CARE,16,70,22.9
Education,IND-RA,6,70,8.6
Education,ICRA,6,70,8.6
Education,BRICKWORK,4,70,5.7
Education,ACUITE,3,70,4.3
Healthcare,CRISIL,142,371,38.3
Healthcare,CARE,94,371,25.3
Healthcare,ICRA,61,371,16.4
Healthcare,Infomerics,47,371,12.7
Healthcare,IND-RA,45,371,12.1
Healthcare,BRICKWORK,39,371,10.5
Healthcare,ACUITE,20,371,5.4
Hotels/Tourism,CRISIL,23,84,27.4
Hotels/Tourism,ICRA,18,84,21.4
Hotels/Tourism,CARE,16,84,19.0
Hotels/Tourism,Infomerics,15,84,17.9
Hotels/Tourism,IND-RA,10,84,11.9
Hotels/Tourism,BRICKWORK,7,84,8.3
Hotels/Tourism,ACUITE,4,84,4.8
IT/Software,CRISIL,96,265,36.2
IT/Software,CARE,51,265,19.2
IT/Software,Infomerics,45,265,17.0
IT/Software,IND-RA,40,265,15.1
IT/Software,ICRA,39,265,14.7
IT/Software,BRICKWORK,26,265,9.8
IT/Software,ACUITE,26,265,9.8
Infrastructure,CARE,404,1225,33.0
Infrastructure,CRISIL,384,1225,31.3
Infrastructure,IND-RA,293,1225,23.9
Infrastructure,Infomerics,169,1225,13.8
Infrastructure,ICRA,147,1225,12.0
Infrastructure,ACUITE,81,1225,6.6
Infrastructure,BRICKWORK,68,1225,5.6
Logistics,CRISIL,46,139,33.1
Logistics,CARE,40,139,28.8
Logistics,ICRA,28,139,20.1
Logistics,Infomerics,19,139,13.7
Logistics,IND-RA,17,139,12.2
Logistics,ACUITE,12,139,8.6
Logistics,BRICKWORK,9,139,6.5
Manufacturing,CRISIL,559,1473,37.9
Manufacturing,CARE,316,1473,21.5
Manufacturing,Infomerics,300,1473,20.4
Manufacturing,IND-RA,187,1473,12.7
Manufacturing,ICRA,175,1473,11.9
Manufacturing,BRICKWORK,158,1473,10.7
Manufacturing,ACUITE,111,1473,7.5
Other,CRISIL,4998,14166,35.3
Other,CARE,3249,14166,22.9
Other,Infomerics,2796,14166,19.7
Other,IND-RA,1940,14166,13.7
Other,ICRA,1771,14166,12.5
Other,BRICKWORK,1529,14166,10.8
Other,ACUITE,1148,14166,8.1
Steel/Metals,CRISIL,217,555,39.1
Steel/Metals,Infomerics,154,555,27.7
Steel/Metals,CARE,123,555,22.2
Steel/Metals,IND-RA,67,555,12.1
Steel/Metals,BRICKWORK,61,555,11.0
Steel/Metals,ICRA,53,555,9.5
Steel/Metals,ACUITE,47,555,8.5
Textiles,CRISIL,132,336,39.3
Textiles,CARE,80,336,23.8
Textiles,IND-RA,56,336,16.7
Textiles,BRICKWORK,46,336,13.7
Textiles,ACUITE,45,336,13.4
Textiles,Infomerics,45,336,13.4
Textiles,ICRA,30,336,8.9
