Company Name,Rating Date,Instrument,Size,Current Rating,Urgency,Data Source,INC Flag
Ompee Education Trust,2023-07-05,Long Term Bank Facilities,-,Withdrawn,HIGH,Infomerics,NO
Alipore Institute of Management & Technology,2020-04-18,Term Loan,Rs. 130.00 Cr.,IVR BBB- (Withdrawn),HIGH,Infomerics,NO
IIT-ians Pace Education Private Limited,2025-12-18,Long Term Bank Facilities - Term Loan,Rs. 14.04 Cr.,IVR B+ (INC)(Downgraded),LOW,Infomerics,YES
IIT-ians Pace Education Private Limited,2025-12-18,Long Term Bank Facilities â€“ Dropline Overdraft,Rs. 19.90 Cr.,IVR B+ (INC)(Downgraded),LOW,Infomerics,YES
Rajasthani Sammelan Education Trust,2025-05-26,Long Term Fund Based Bank Facility - Term Loan,Rs. 48.05 Cr.,IVR B (INC)(Downgraded),HIGH,Infomerics,YES
Rajasthani Sammelan Education Trust,2025-05-26,Long Term Fund Based Bank Facility - Overdraft,Rs. 12.00 Cr.,IVR B (INC)(Downgraded),HIGH,Infomerics,YES
Rajasthani Sammelan Education Trust,2025-05-26,Proposed Long Term Fund Based Bank Facility,Rs. 2.95 Cr.,IVR B (INC)(Downgraded),HIGH,Infomerics,YES
Periyasamy Pillai Educational Trust,2025-11-03,Long Term Bank Facilities,Rs. 64.50 Cr.,IVR BB+ (INC)(Downgraded),MEDIUM,Infomerics,YES
Periyasamy Pillai Educational Trust,2025-11-03,Short Term Bank Facilities,Rs. 35.00 Cr.,IVR A4+ (INC)(Downgraded),MEDIUM,Infomerics,YES
Arka Educational and Cultural Trust,2025-08-11,Long Term Bank Facilities,Rs. 149.02 Cr. (Reduced from Rs. 164.27 Cr.),IVR BBB- (Downgraded),MEDIUM,Infomerics,NO
Arka Educational and Cultural Trust,2025-08-11,Long term Bank Facilities - Proposed,Rs. 15.26 Cr.,IVR BBB- (Assigned),MEDIUM,Infomerics,NO
Sri Rama Educational Trust,2024-02-21,Long Term Bank Facility - Term Loan,0.00 (Previously Rs. 64.21 Cr.),Withdrawn,HIGH,Infomerics,NO
Sri Rama Educational Trust,2024-02-21,Long Term Bank Facility - Overdraft,0.00 (Previously Rs. 20.00 Cr.),Withdrawn,HIGH,Infomerics,NO
Sri Rama Educational Trust,2024-02-21,Fund Based Bank Facilities - Proposed Term Loans,Rs. 45.00 Cr.,IVR BB+,HIGH,Infomerics,NO
Sri Rama Educational Trust,2024-02-21,Fund Based Bank Facilities Proposed Cash Credit,Rs. 20.00 Cr.,IVR BB+,HIGH,Infomerics,NO
G.H. Raisoni Educational and Medical Foundation,2023-01-25,Long Term Bank Facilities,Rs. 13.00 Cr.,Withdrawn,HIGH,Infomerics,NO
Sanaka Educational Trust,2024-12-30,Long Term Bank Facilities,Rs. 159.19 Cr. (reduced from Rs. 164.78 Cr.),IVR BBB+ (Upgraded),HIGH,Infomerics,NO
Sanaka Educational Trust,2024-12-30,Short Term Bank Facilities,Rs. 65.00 Cr. (enhanced from Rs. 10.25 Cr.),IVR A2 (Upgraded),HIGH,Infomerics,NO
Sri Rama Educational Trust,2024-02-21,Long Term Bank Facility - Term Loan,0.00 (Previously Rs. 64.21 Cr.),Withdrawn,HIGH,Infomerics,NO
Sri Rama Educational Trust,2024-02-21,Long Term Bank Facility - Overdraft,0.00 (Previously Rs. 20.00 Cr.),Withdrawn,HIGH,Infomerics,NO
