Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Advance Metering Technology Ltd.,CARE,1,CARE,Non-government debt,Non-government debt,C/A4,Downgraded,2025-06-03,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
M R Proview Real Tech Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-06-12,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Noida Software Technology Park Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-05-15,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Pan India Network Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-05-13,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Robbins Tunneling & Trenchless Technology (India) Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-06-02,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shalaka Infra-Tech (India) Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,D,Reaffirmed,2025-06-09,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Tech-Force Composites Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit | Term loans,Letter Of credit,B,Reaffirmed,2025-06-11,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Teleecare Network India Pvt. Ltd.,CARE,1,CARE,Bank Guarantee,Bank Guarantee,C,Reaffirmed,2025-06-05,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Vaishnavi Ferro Tech Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B,Reaffirmed,2025-05-29,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Venky Hi-Tech Ispat Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Non-government debt,Non-fund-based financial facility/instrument,D,Reaffirmed,2025-05-16,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Vijas Digital (India) Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-27,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Jitendra New EV Tech Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),,2025-03-22,HIGH,5,YES,IT/Software,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
MVR Technology,Infomerics,1,Infomerics,Long Term Facilities | Short Term Facilities,Long Term Facilities,IVR B (INC)(Downgraded),,2025-03-17,HIGH,5,YES,IT/Software,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Mother Earth Environ Tech Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Proposed Long Term Bank Facilities,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),,2025-05-20,HIGH,5,YES,IT/Software,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Greenvision Technologies Pvt. Ltd.,BRICKWORK | IND-RA,2,BRICKWORK,Letter Of credit | Non-fund based working capital limit | Term loans,Letter Of credit,A 4,Withdrawn,2025-05-26,HIGH,6,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
