Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Advance Metering Technology Ltd.,CARE,1,CARE,Non-government debt,Non-government debt,C/A4,Downgraded,2025-06-03,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
M R Proview Real Tech Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-06-12,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Noida Software Technology Park Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-05-15,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Pan India Network Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-05-13,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Robbins Tunneling & Trenchless Technology (India) Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-06-02,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Shalaka Infra-Tech (India) Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,D,Reaffirmed,2025-06-09,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Tech-Force Composites Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit | Term loans,Letter Of credit,B,Reaffirmed,2025-06-11,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Teleecare Network India Pvt. Ltd.,CARE,1,CARE,Bank Guarantee,Bank Guarantee,C,Reaffirmed,2025-06-05,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Vaishnavi Ferro Tech Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B,Reaffirmed,2025-05-29,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
Venky Hi-Tech Ispat Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Non-government debt,Non-fund-based financial facility/instrument,D,Reaffirmed,2025-05-16,HIGH,5,YES,IT/Software,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: rescue pitch; current rater abandoned, ACER delivers in 15 days"
