Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Baba Super Minerals Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,B+,Withdrawn,2025-06-13,HIGH,5,YES,Mining/Minerals,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Ramoji Granite Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-06-09,HIGH,5,YES,Mining/Minerals,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Shri Coimbatore Jewellers India Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-29,HIGH,5,YES,Mining/Minerals,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Vinayak Coal Traders Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-05-26,HIGH,5,YES,Mining/Minerals,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
MDA Mineral Dhatu (AP) Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities (including Proposed),Long Term Bank Facilities (including Proposed),IVR BB- (INC)(Downgraded),,2025-02-17,HIGH,5,YES,Mining/Minerals,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Sega Granito LLP,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank facilities,Long Term Bank Facilities,IVR BB (INC) (Downgraded),,2025-02-05,HIGH,5,YES,Mining/Minerals,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Tiwarta Coal Beneficiation Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),,2025-04-18,HIGH,5,YES,Mining/Minerals,Infomerics,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Bombay Minerals Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Non-government debt,Non-fund-based financial facility/instrument,A 4,Withdrawn,2025-05-20,HIGH,3,NO,Mining/Minerals,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. ICRA
Rama Coal Washeries Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Non-fund-based financial facility/instrument,Bank Guarantee,A 2+,Upgraded,2025-05-30,HIGH,3,NO,Mining/Minerals,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. CRISIL
Siyaram Granito Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 3,Reaffirmed,2025-05-07,HIGH,3,NO,Mining/Minerals,D365,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. ACUITE
