Company Name,BFSI_Sub,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_NBFC
The Central Financial Credit and Investment Co operative (India) Limited,NBFC,Infomerics,Fund Based Working Capital Loan,IVR BBB+ (Reaffirmed),,UNKNOWN,0,NO,Infomerics,1,Active rated company — relationship building,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
B W D A Finance Ltd.,NBFC,IND-RA,Term loans,BBB-,2025-09-03,MEDIUM,5,YES,ACUITE | IND-RA,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Capital Infraprojects Pvt. Ltd.,NBFC,CRISIL,Long term Loans,B,2025-07-16,MEDIUM,5,YES,CRISIL | IND-RA,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Glowmore Finance Pvt. Ltd.,NBFC,IND-RA,Term loans,B+,2025-11-10,MEDIUM,5,YES,IND-RA | Infomerics,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Growing Opportunity Finance (India) Pvt. Ltd.,NBFC,CARE,Fund based financial facility/instrument,B,2025-10-29,MEDIUM,5,YES,CARE | Infomerics,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Humana Financial Services Pvt. Ltd.,NBFC,ACUITE,Long term Loans,BB+,2025-11-19,MEDIUM,5,YES,ACUITE | Infomerics,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Jaika Automobiles & Finance Pvt. Ltd.,NBFC,IND-RA,Term loans,BB,2025-07-07,MEDIUM,5,YES,IND-RA | Infomerics,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Janakalyan Financial Services Pvt. Ltd.,NBFC,ACUITE,Term loans,BBB-,2025-08-28,MEDIUM,5,YES,ACUITE | CARE,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Sustainable Agro-Commercial Finance Ltd.,NBFC,CARE,Long term Loans,D,2025-08-06,MEDIUM,5,YES,CARE | Infomerics,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
A S A International India Microfinance Ltd.,MFI,ICRA,Term loans,D,2025-06-26,MEDIUM,4,YES,ICRA,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
A U M Capital Market Pvt. Ltd.,NBFC,ACUITE,Bank Guarantee,A 4+,2025-06-26,MEDIUM,4,YES,ACUITE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Action Financial Services (India) Ltd.,NBFC,CRISIL,Bank Guarantee,D,2025-07-25,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Akhshayaa Finance Bhaarath Ltd.,NBFC,BRICKWORK,Term loans,D,2025-10-08,MEDIUM,4,YES,BRICKWORK,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
