Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle,New_Sector
A N S Constructions Pvt. Ltd.,ACUITE | CRISIL,2,ACUITE,Bank Guarantee | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-05-23,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Construction
Amrit Exports Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-28,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Trading/Exports
Ashoka Distillers & Chemicals Pvt. Ltd.,CRISIL | ICRA,2,ICRA,Long term Loans | Non-government debt | Term loans,Non-government debt,B+/A4,Reaffirmed,2025-05-28,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Chemicals/Pharma
Avadhoot Project Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Bank Guarantee | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-05-21,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Ayoki Fabricon Pvt. Ltd.,IND-RA | Infomerics,2,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,A 3+,Initial Rating,2025-05-09,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Textiles
Bhrunda Infra Pvt. Ltd.,ACUITE | Infomerics,2,ACUITE,Bank Guarantee,Bank Guarantee,A 4+,Withdrawn,2025-05-27,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
Chrysalis Trading Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Non-government debt,Non-government debt,D,Reaffirmed,2025-05-27,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Trading/Exports
Deepika Infratech Pvt. Ltd.,ACUITE | CRISIL,2,ACUITE,Bank Guarantee,Bank Guarantee,D,Reaffirmed,2025-05-23,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
Divine Motors Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Term loans,Term loans,B+,Downgraded,2025-06-09,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Automobiles/Auto
Emcer Tiles Pvt. Ltd.,CRISIL | Infomerics,2,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,A 4+,Withdrawn,2025-05-13,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
