Sector,Total,Ultra_Hot,HOT,INC_pct
Manufacturing,383,104,279,27.2
Construction,292,86,206,29.5
AgroFood,106,52,54,49.1
ChemicalsPharma,95,40,55,42.1
IT/Software,68,30,38,44.1
Healthcare,77,28,49,36.4
Textiles,29,18,11,62.1
Automobiles/Auto,24,17,7,70.8
BFSI-NBFC,56,14,42,25.0
Trading/Exports,17,13,4,76.5
Logistics,34,12,22,35.3
Jewellery/Gems,25,10,15,40.0
Hotels/Tourism,25,7,18,28.0
Mining/Minerals,13,7,6,53.8
Paper/Packaging,5,5,0,100.0
BFSI,82,5,77,6.1
Education,19,3,16,15.8
Infrastructure,252,0,252,0.0
