Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Ashoka Distillers & Chemicals Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,Chemicals/Pharma,YES,CRISIL | ICRA,2,Long term Loans | Non-government debt | Term loans,Reaffirmed,D365,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Omkar Speciality Chemicals Ltd.,Letter Of credit,CRISIL,D,2025-05-30,HIGH,Chemicals/Pharma,YES,BRICKWORK | CRISIL,2,Letter Of credit | Long term Loans | Term loans,Reaffirmed,D365,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Sigma Chemtrade Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-06-05,HIGH,Chemicals/Pharma,YES,CRISIL | IND-RA,2,Bank Guarantee | Letter Of credit | Non-fund based working capital limit | Non-fund-based financial facility/instrument,Downgraded,D365,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Nikhil Adhesives Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR B/IVR A4; (INC)(Downgraded/Reaffirmed),2025-06-17,HIGH,Chemicals/Pharma,YES,Infomerics,1,Long Term/ Short Term Bank Facilities,Infomerics only,Infomerics,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround
Auro Impex & Chemicals Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-06-12,HIGH,Chemicals/Pharma,YES,Infomerics,1,Long Term Bank Facilities,Infomerics only,Infomerics,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround
Supreet Chemicals Private Limited,Long Term Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-03-17,HIGH,Chemicals/Pharma,YES,Infomerics,1,Long Term Facilities,Infomerics only,Infomerics,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround
Nayati Medical Private Limited (Formerly known as Nayati Pharma Private Limited),Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),2025-02-17,HIGH,Chemicals/Pharma,YES,Infomerics,1,Long Term Bank Facilities,Infomerics only,Infomerics,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround
Hindusthan Speciality Chemicals Limited,Short Term Non-Fund Based Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-02-03,HIGH,Chemicals/Pharma,YES,Infomerics,1,Short Term Non-Fund Based Facilities,Infomerics only,Infomerics,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround
Amazing Rubber Products Pvt. Ltd.,Long term Loans,CRISIL,BB,2025-05-27,HIGH,Chemicals/Pharma,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
B A S P Chemical Products Ltd.,Letter Of credit,BRICKWORK,A 4,2025-05-28,HIGH,Chemicals/Pharma,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
