Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Celebi Delhi Cargo Terminal Mgmt. India Pvt. Ltd.,Term loans,CARE,A,2025-05-22,HIGH,Logistics,YES,CARE | ICRA,2,Term loans,Withdrawn,D365,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Anand Transport Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-30,HIGH,Logistics,YES,BRICKWORK,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Atlantic Shipping Pvt. Ltd.,Bank Guarantee,ICRA,A 4+,2025-06-11,HIGH,Logistics,YES,ICRA,1,Bank Guarantee | Fund based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Lakhotia Transport Co. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-14,HIGH,Logistics,YES,ICRA,1,Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Mehrab Logistics & Aviation Ltd.,Term loans,BRICKWORK,C,2025-06-13,HIGH,Logistics,YES,BRICKWORK,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Nayak Aviation Services Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-30,HIGH,Logistics,YES,CRISIL,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Seacoast Shipping Services Limited,Long Term Fund Based Limits - Cash Credit,Infomerics,IVR D (INC)(Reaffirmed),2025-05-20,HIGH,Logistics,YES,Infomerics,1,Long Term Fund Based Limits - Cash Credit,,Infomerics,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Accutime Logistics Pvt. Ltd.,Long term Loans,ACUITE,C,2025-06-10,HIGH,Logistics,YES,ACUITE,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Medi Carrier Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-13,HIGH,Logistics,YES,CRISIL,1,Bank Guarantee | Long term Loans | Term loans,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Reach Logistics Pvt. Ltd.,Long term Loans,CRISIL,B+,2025-06-13,HIGH,Logistics,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
S B S Transpole Logistics Pvt. Ltd.,Bank Guarantee,CARE,D,2025-06-12,HIGH,Logistics,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
NTC Logistics India Private Limited,Non-Convertible Debentures,Infomerics,Withdrawn,2025-01-24,HIGH,Logistics,YES,Infomerics,1,Long Term Bank Facilities | Non-Convertible Debentures | Short Term Bank Facilities,,Infomerics,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Ennore Cargo Container Terminal Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB,2025-05-22,HIGH,Logistics,NO,CRISIL,1,Fund based financial facility/instrument | Term loans,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Jaipur Golden Transport Co. Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-05-19,HIGH,Logistics,NO,CRISIL,1,Bank Guarantee,Downgraded,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Dev Bhumi Cold Chain Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),2025-04-17,HIGH,Logistics,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
GMR Aviation Private Limited,Long Term Fund Based Facilities,Infomerics,Withdrawn,2022-11-11,HIGH,Logistics,NO,Infomerics,1,Long Term Fund Based Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Globe Line Shipping Services Private Limited,Long Term Facilities,Infomerics,IVR BB (Assigned),2025-04-01,HIGH,Logistics,NO,Infomerics,1,Long Term Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
R K Laxmi Logistic Private Limited,Long-Term Bank Facilities,Infomerics,IVR BB (Reaffirmed),2025-03-25,HIGH,Logistics,NO,Infomerics,1,Long-Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Singal Transport Corporation,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),2025-06-04,HIGH,Logistics,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Sravan Shipping Services Private Limited,Long Term Facilities,Infomerics,IVR BBB+ (Reaffirmed),2024-12-20,HIGH,Logistics,NO,Infomerics,1,Long Term Facilities | Short Term Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Taneja Aerospace and Aviation Ltd,Long Term Fund based facilities- Cash Credit,Infomerics,Withdrawn,2021-10-21,HIGH,Logistics,NO,Infomerics,1,Long Term Fund based facilities- Cash Credit | Long Term Fund based facilities- Term Loan | Short Term Non-Fund based facilities- Bank Guarantee,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Agarwal Packers & Movers Ltd.,Bank Guarantee,IND-RA,A 2,2025-06-04,HIGH,Logistics,NO,IND-RA,1,Bank Guarantee | Term loans,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Ameya Logistics Pvt. Ltd.,Term loans,CRISIL,A+,2025-05-29,HIGH,Logistics,NO,CRISIL,1,Bank Guarantee | Term loans,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Autobahn Trucking Corpn. Pvt. Ltd.,Term loans,IND-RA,BBB-,2025-05-26,HIGH,Logistics,NO,IND-RA,1,Term loans,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Boxco Logistics India Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-05-29,HIGH,Logistics,NO,ICRA,1,Non-fund-based financial facility/instrument,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
D P World Multimodal Logistics Hyderabad Pvt. Ltd.,Non-government debt,ICRA,A+/A1,2025-05-19,HIGH,Logistics,NO,ICRA,1,Non-government debt,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
D P World Rail Logistics Pvt. Ltd.,Term loans,IND-RA,A+,2025-06-02,HIGH,Logistics,NO,IND-RA,1,Non-fund based working capital limit | Term loans,Initial Rating,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Rishi Kiran Logistics Pvt. Ltd.,Bank Guarantee,CRISIL,A 2,2025-05-20,HIGH,Logistics,NO,CRISIL,1,Bank Guarantee,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Shree Jagannath Carriers Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 3+,2025-06-13,HIGH,Logistics,NO,IND-RA,1,Non-fund based working capital limit | Term loans,Initial Rating,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Shree Vasu Logistics Ltd.,Non-fund based working capital limit,IND-RA,A 3+,2025-05-09,HIGH,Logistics,NO,IND-RA,1,Non-fund based working capital limit | Term loans,Initial Rating,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
AME Infralogistics Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),2025-03-28,HIGH,Logistics,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Delta Infralogistics (Worldwide) Limited,Long Term Facilities,Infomerics,IVR BBB- (Assigned),2024-12-24,HIGH,Logistics,NO,Infomerics,1,Long Term Facilities | Short Term Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
KPS Logistics,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),2025-03-20,HIGH,Logistics,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Shree Balaji Roadlines,Long Term Bank Facilities - Cash Credit,Infomerics,IVR BBB- (Reaffirmed),2025-04-17,HIGH,Logistics,NO,Infomerics,1,Long Term Bank Facilities - Cash Credit | Long Term Bank Facilities - Term Loan | Short Term Bank Facilities - Bank Guarantee | Short Term Bank Facilities - Bill Discounting,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Shree Balaji Roadlines73 Private Limited,Long Term Bank Facilities - Term Loan,Infomerics,IVR BBB- (Assigned),2025-04-17,HIGH,Logistics,NO,Infomerics,1,Long Term Bank Facilities - Cash Credit | Long Term Bank Facilities - Term Loan,,Infomerics,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
B K B Transport Pvt. Ltd.,Non-government debt,IND-RA,BBB/A3+,2025-11-06,MEDIUM,Logistics,YES,ACUITE | IND-RA,2,Bank Guarantee | Non-government debt,Initial Rating,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Bhavani Shipping Services (India) Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2025-08-21,MEDIUM,Logistics,YES,CRISIL | Infomerics,2,Fund based financial facility/instrument | Term loans,Reaffirmed,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
East West Freight Carriers Ltd. [Merged],Non-fund-based financial facility/instrument,BRICKWORK,A 4+,2025-11-24,MEDIUM,Logistics,YES,BRICKWORK | IND-RA,2,Fund based financial facility/instrument | Non-fund based working capital limit | Non-fund-based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
G B Enterprises (Transport) Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-10-07,MEDIUM,Logistics,YES,CARE | IND-RA,2,Bank Guarantee | Non-government debt | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Karanja Terminal & Logistics Pvt. Ltd.,Fund based financial facility/instrument,ICRA,D,2025-07-09,MEDIUM,Logistics,YES,CRISIL | ICRA,2,Fund based financial facility/instrument | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Life Care Logistic Pvt. Ltd.,Bank Guarantee,ACUITE,BB,2025-08-12,MEDIUM,Logistics,YES,ACUITE | Infomerics,2,Bank Guarantee | Long term Loans | Term loans,Withdrawn,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Shahi Shipping Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-27,MEDIUM,Logistics,YES,CARE | CRISIL,2,Bank Guarantee | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sindhu Cargo Services Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2025-07-14,MEDIUM,Logistics,YES,ICRA | IND-RA | Infomerics,3,Non-fund based working capital limit | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,Both,5,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Titan-Antony Aviation India Pvt. Ltd.,Term loans,CRISIL,B,2025-10-17,MEDIUM,Logistics,YES,CARE | CRISIL,2,Bank Guarantee | Letter Of credit | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
