Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Amrit Exports Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-28,HIGH,Trading/Exports,YES,BRICKWORK | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Term loans,Reaffirmed,D365,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Chrysalis Trading Pvt. Ltd.,Non-government debt,BRICKWORK,D,2025-05-27,HIGH,Trading/Exports,YES,BRICKWORK | Infomerics,2,Non-government debt,Reaffirmed,Both,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shree Shankar Vijay Timber Exports Pvt. Ltd.,Bank Guarantee,CARE,D,2025-05-14,HIGH,Trading/Exports,YES,ACUITE | CARE,2,Bank Guarantee | Letter Of credit | Long term Loans | Non-government debt,Downgraded,D365,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Amrutva Exports Pvt. Ltd.,Short-term loan,CRISIL,A 4,2025-05-29,HIGH,Trading/Exports,YES,CRISIL,1,Short-term loan,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Eswari Exports Pvt. Ltd.,Long term Loans,CRISIL,B,2025-05-22,HIGH,Trading/Exports,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Fauji Exim Pvt. Ltd.,Short-term loan,CRISIL,A 4,2025-05-22,HIGH,Trading/Exports,YES,CRISIL,1,Short-term loan,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
K P L Exports Ltd.,Bank Guarantee,CARE,A 4,2025-06-11,HIGH,Trading/Exports,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Micronova Impex Pvt. Ltd.,Letter Of credit,BRICKWORK,D,2025-05-21,HIGH,Trading/Exports,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Permeshwar Fashion Impex Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-05-14,HIGH,Trading/Exports,YES,CRISIL,1,Bank Guarantee | Letter Of credit,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Ram Fashion Exports Pvt. Ltd.,Term loans,CRISIL,D,2025-05-14,HIGH,Trading/Exports,YES,CRISIL,1,Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
