Company Name,INC Instruments (Abandoned),All Instruments,Last Rating,Last Status,Last Rating Date,Days Since Last Rating,Urgency,Priority,Sector,INC Instrument Count,Why Target,ACER Pitch Angle,Current Rater
Ammanarul Spinners Pvt. Ltd.,Term loans,Term loans,D,Reaffirmed,2025-01-07,527,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 527 days. ACER can restore in 15 days.,BRICKWORK
Atul Motors Pvt. Ltd.,Fund based financial facility/instrument,Fund based financial facility/instrument,A 4,Reaffirmed,2025-01-07,527,HIGH,ULTRA HOT,Automobiles & Auto,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument). Rating overdue 527 days. ACER can restore in 15 days.,BRICKWORK
Columbia Petro Chem Pvt. Ltd.,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,A 4,Withdrawn,2025-01-07,527,HIGH,ULTRA HOT,Chemicals & Pharma,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit). Rating overdue 527 days. ACER can restore in 15 days.,BRICKWORK
Curetech Formulations Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-01-07,527,HIGH,ULTRA HOT,IT & Software,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 527 days. ACER can restore in 15 days.,BRICKWORK
R H Solvex Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-01-07,527,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 527 days. ACER can restore in 15 days.,BRICKWORK
Super Iron Foundry Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,C,Withdrawn,2025-01-07,527,HIGH,ULTRA HOT,Steel & Metals,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 527 days. ACER can restore in 15 days.,BRICKWORK
Swathi Ginning Mills Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-01-07,527,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 527 days. ACER can restore in 15 days.,BRICKWORK
Akshay Food Impex Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,B,Downgraded,2025-01-08,526,HIGH,ULTRA HOT,Agro & Food,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Term loans). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Eskay-Bee Intl. Pvt. Ltd.,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
G S Autocomp Pvt. Ltd.,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Automobiles & Auto,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Hindustan Glass Works Ltd.,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,A 4,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Manufacturing,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit | Term loans). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Mother India Agrofoods Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Agro & Food,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Mother India Construction Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,C,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Construction,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Premsons Diversey Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
S K F Boilers & Driers Pvt. Ltd.,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Shree Ram Proteins Ltd.,Bank Guarantee,Bank Guarantee,D,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Shree Shyam Roadlink Pvt. Ltd.,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,A 4,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Infrastructure,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Sparsh Industries Pvt.  Ltd.,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Manufacturing,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Non-fund-based financial facility/instrument). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Versatile Wires Ltd.,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,A 4,Reaffirmed,2025-01-08,526,HIGH,ULTRA HOT,Other,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit | Term loans). Rating overdue 526 days. ACER can restore in 15 days.,BRICKWORK
Agra Oil& General Inds. Ltd.,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
