Instrument,ALL_Total,ALL_INC,ALL_INC_Pct,CRISIL_Total,CRISIL_INC,CRISIL_INC_Pct,CARE_Total,CARE_INC,CARE_INC_Pct,ICRA_Total,ICRA_INC,ICRA_INC_Pct,IND-RA_Total,IND-RA_INC,IND-RA_INC_Pct,ACUITE_Total,ACUITE_INC,ACUITE_INC_Pct,BRICKWORK_Total,BRICKWORK_INC,BRICKWORK_INC_Pct
Bank Guarantee,7393,3593,48.6%,3394,1512,44.5%,1639,680,41.5%,174,26,14.9%,80,8,10.0%,1054,457,43.4%,1052,910,86.5%
Letter Of credit,5025,2543,50.6%,2604,1111,42.7%,739,341,46.1%,164,20,12.2%,25,5,20.0%,690,360,52.2%,803,706,87.9%
Term loans,15634,5814,37.2%,4716,1602,34.0%,3829,1168,30.5%,1880,627,33.4%,2479,660,26.6%,1396,609,43.6%,1334,1148,86.1%
Long term Loans,5435,2131,39.2%,3834,1693,44.2%,229,9,3.9%,132,24,18.2%,52,4,7.7%,1184,397,33.5%,4,4,100.0%
Non-government debt,6334,1652,26.1%,25,2,8.0%,3047,549,18.0%,1878,343,18.3%,1260,674,53.5%,0,0,N/A,124,84,67.7%
Fund based financial facility/instrument,3887,1393,35.8%,2161,686,31.7%,517,194,37.5%,511,52,10.2%,46,8,17.4%,72,36,50.0%,580,417,71.9%
Non-fund-based financial facility/instrument,2825,914,32.4%,966,89,9.2%,307,63,20.5%,1222,543,44.4%,53,9,17.0%,3,0,0.0%,274,210,76.6%
Short-term loan,788,202,25.6%,359,82,22.8%,78,8,10.3%,137,45,32.8%,39,0,0.0%,175,67,38.3%,0,0,N/A
Debentures / Bonds / notes / bills,1526,19,1.2%,481,4,0.8%,613,4,0.7%,225,6,2.7%,103,0,0.0%,61,0,0.0%,43,5,11.6%
Non-fund based working capital limit,1087,344,31.6%,2,0,0.0%,22,4,18.2%,36,1,2.8%,1025,338,33.0%,0,0,N/A,2,1,50.0%
