Company Name,Latest Rater,All Raters,Rater Count,All Instruments,INC Instruments,Latest Rating,Latest Status,Latest Rating Date,Days Since Rating,Urgency,Priority,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
V R L Media Pvt. Ltd.,CARE,CARE,1,Term loans,Term loans,BB+,Downgraded,2025-01-07,527,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — CARE abandoned | Rating overdue 527 days,URGENT: CARE abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
G L S Films Inds. Pvt. Ltd.,CARE,CARE,1,Non-government debt | Term loans,Non-government debt | Term loans,D,Withdrawn,2025-02-06,497,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — CARE abandoned | Rating overdue 497 days,URGENT: CARE abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Induro Lifestyle Resources Pvt. Ltd.,ACUITE,ACUITE,1,Long term Loans | Term loans,Long term Loans | Term loans,B,Downgraded,2025-02-06,497,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — ACUITE abandoned | Rating overdue 497 days,URGENT: ACUITE abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Value Added Fashion Fabrics Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Fund based financial facility/instrument,Fund based financial facility/instrument,B+,Downgraded,2025-04-07,437,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Rating overdue 437 days,URGENT: BRICKWORK abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Future Lifestyle Fashions Ltd.,CARE,CARE | CRISIL,2,Letter Of credit | Long term Loans | Term loans,Term loans,D,Reaffirmed,2025-04-11,433,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — CARE abandoned | Rating overdue 433 days | Multi-agency,URGENT: CARE abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Western Coffee Curers & Exports Pvt. Ltd.,CARE,CARE,1,Non-government debt | Term loans,Non-government debt | Term loans,B+/A4,Reaffirmed,2025-04-11,433,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — CARE abandoned | Rating overdue 433 days,URGENT: CARE abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Shrijee Lifestyle Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE,2,Fund based financial facility/instrument | Non-government debt | Term loans,Non-government debt | Term loans,BBB-,Initial Rating,2025-05-08,406,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Rating overdue 406 days | Multi-agency,URGENT: BRICKWORK abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Multifilms Plastics Pvt. Ltd.,IND-RA,CARE | CRISIL | IND-RA,3,Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt | Term loans,B-/A4,Downgraded,2025-05-12,402,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — IND-RA abandoned | Rating overdue 402 days | Multi-agency,URGENT: IND-RA abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Nova Publications & Printers Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-05-12,402,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Rating overdue 402 days,URGENT: CRISIL abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
M P S Telecom Retail Pvt. Ltd.,CARE,CARE,1,Term loans,Term loans,B-,Reaffirmed,2025-06-06,377,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — CARE abandoned | Rating overdue 377 days,URGENT: CARE abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Santoshi Barrier Film India Pvt. Ltd.,ACUITE,ACUITE,1,Letter Of credit | Long term Loans,Letter Of credit | Long term Loans,D,Reaffirmed,2025-06-11,372,HIGH,ULTRA HOT,YES,Media & Retail,D365,INC — ACUITE abandoned | Rating overdue 372 days,URGENT: ACUITE abandoned your account. ACER covers media/retail sector — rescue rating in 15 days.
Osia Hyper Retail Ltd.,IND-RA,IND-RA,1,Non-fund based working capital limit,Non-fund based working capital limit,A 4+,Downgraded,2025-07-07,346,MEDIUM,HOT,YES,Media & Retail,D365,INC — IND-RA abandoned | Approaching renewal window,INC on your Non-fund based working capital limit — renewal window. ACER fast-tracks media/retail sector ratings.
Sharda Retails Pvt. Ltd.,CARE,CARE,1,Term loans,Term loans,D,Reaffirmed,2025-07-10,343,MEDIUM,HOT,YES,Media & Retail,D365,INC — CARE abandoned | Approaching renewal window,INC on your Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Blue Star Malleable Pvt. Ltd.,IND-RA,IND-RA,1,Non-fund based working capital limit | Term loans,Non-fund based working capital limit | Term loans,BB+,Reaffirmed,2025-08-08,314,MEDIUM,HOT,YES,Media & Retail,D365,INC — IND-RA abandoned | Approaching renewal window,INC on your Non-fund based working capital limit | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Broadcast Engineering Consultants India Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Long term Loans,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Long term Loans,A 4,Reaffirmed,2025-08-09,313,MEDIUM,HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Approaching renewal window | Multi-agency,INC on your Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Long term Loans — renewal window. ACER fast-tracks media/retail sector ratings.
Nishta Mall Mgmt. Co. Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,D,Reaffirmed,2025-08-09,313,MEDIUM,HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Approaching renewal window,INC on your Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Good Morning India Media Pvt. Ltd.,CRISIL,CRISIL,1,Term loans,Term loans,B,Reaffirmed,2025-09-05,286,MEDIUM,HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Approaching renewal window,INC on your Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Premier Polyfilm Ltd.,ICRA,CRISIL | ICRA,2,Fund based financial facility/instrument | Letter Of credit | Long term Loans | Non-government debt | Term loans,Letter Of credit | Non-government debt | Term loans,BBB+,Reaffirmed,2025-09-05,286,MEDIUM,HOT,YES,Media & Retail,D365,INC — ICRA abandoned | Approaching renewal window | Multi-agency,INC on your Letter Of credit | Non-government debt | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Infinity Advertising Services Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,C,Reaffirmed,2025-09-09,282,MEDIUM,HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Approaching renewal window | Multi-agency,INC on your Bank Guarantee | Letter Of credit | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Anup Malleables Ltd.,CARE,CARE | CRISIL,2,Bank Guarantee | Term loans,Bank Guarantee | Term loans,B-,Reaffirmed,2025-09-10,281,MEDIUM,HOT,YES,Media & Retail,D365,INC — CARE abandoned | Approaching renewal window | Multi-agency,INC on your Bank Guarantee | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
