Company Name,Rating Date,Instruments,Size,Rating,Outlook,Urgency,INC,Current Rater,Sector
Gemini Fashion,2018-12-11,Long Term Fund Based Limits,Rs. 6.00 cr.,IVR BB- (Reaffirmed and Withdrawn),Stable,HIGH,NO,INFOMERICS,Media & Retail
Gemini Fashion,2018-12-11,Working Capital Demand Loan,Rs.2.50 Cr.,IVR BB- (Reaffirmed and Withdrawn),Stable,HIGH,NO,INFOMERICS,Media & Retail
Asia Poly Films Industries,2025-07-24,Long Term Facilities,Rs. 34.96 Cr.,IVR BB- (INC)(Downgraded),Negative,MEDIUM,YES,INFOMERICS,Media & Retail
Asia Poly Films Industries,2025-07-24,Short Term Facilities,Rs. 3.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
Emperial Films LLP,2026-02-09,Long Term Bank Facilities,Rs. 46.02 Cr.,IVR BB (INC)(Downgraded),Negative,LOW,YES,INFOMERICS,Media & Retail
Emperial Films LLP,2026-02-09,Short Term Bank Facilities,Rs. 1.00 Cr.,IVR A4 (INC)(Downgraded),Nil,LOW,YES,INFOMERICS,Media & Retail
Agrawal Channel Mills Private Limited,2025-09-23,Long Term Bank Facilities,Rs. 55.32 Cr. (enhanced from Rs. 44.90 Crore),IVR BBB+ (Upgraded),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Acute retail Infra Private Limited,2025-10-10,Long Term Bank Facilities - Term Loan,Rs. 60.11 Cr.,IVR D (ISSUER NOT COOPERATING),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Safeco Hygiene Films Private Limited,2025-07-08,Long Term Bank Facilities,Rs. 8.22 Cr.,IVR D (INC)(Reaffirmed),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
Safeco Hygiene Films Private Limited,2025-07-08,Short Term Bank Facilities,Rs. 1.05 Cr.,IVR D (INC)(Reaffirmed),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
