Company Name,Latest Rater,All Raters,Rater Count,All Instruments,INC Instruments,Latest Rating,Latest Status,Latest Rating Date,Days Since Rating,Urgency,Priority,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Troix Chemicals Pvt. Ltd.,CARE,CARE,1,Non-government debt,Non-government debt,C/A4,Reaffirmed,2025-01-07,527,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (527 days),URGENT: CARE abandoned your Non-government debt. ACER specializes in mining sector — rescue rating in 15 days.
Lok Chemicals Pvt. Ltd.,CARE,CARE,1,Non-government debt,Non-government debt,BBB-/A3,Downgraded,2025-01-10,524,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (524 days),URGENT: CARE abandoned your Non-government debt. ACER specializes in mining sector — rescue rating in 15 days.
Mobilestore Services Ltd.,CARE,CARE,1,Bank Guarantee,Bank Guarantee,D,Reaffirmed,2025-01-10,524,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (524 days),URGENT: CARE abandoned your Bank Guarantee. ACER specializes in mining sector — rescue rating in 15 days.
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,BB,Withdrawn,2025-01-12,522,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — IND-RA not cooperating | Rating overdue (522 days),URGENT: IND-RA abandoned your Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Turbhe Chemicals Pvt. Ltd.,CARE,CARE,1,Non-government debt | Term loans,Non-government debt | Term loans,B+/A4,Downgraded,2025-01-12,522,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (522 days),URGENT: CARE abandoned your Non-government debt | Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Fie Refineries & Chemical Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,C,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Rating overdue (496 days),URGENT: BRICKWORK abandoned your Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Cosmo Granites Pvt. Ltd.,CRISIL,CARE | CRISIL,2,Term loans,Term loans,B,Reaffirmed,2025-03-06,469,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Rating overdue (469 days) | Multi-agency — open to new raters,URGENT: CRISIL abandoned your Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Coalsale Co. Ltd.,CARE,CARE,1,Bank Guarantee | Non-fund-based financial facility/instrument,Bank Guarantee | Non-fund-based financial facility/instrument,A 4+,Reaffirmed,2025-03-07,468,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (468 days),URGENT: CARE abandoned your Bank Guarantee | Non-fund-based financial facility/instrument. ACER specializes in mining sector — rescue rating in 15 days.
Wellness Forever Medicare Ltd.,IND-RA,CRISIL | IND-RA,2,Long term Loans | Non-fund based working capital limit | Term loans,Non-fund based working capital limit | Term loans,B+,Downgraded,2025-03-07,468,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — IND-RA not cooperating | Rating overdue (468 days) | Multi-agency — open to new raters,URGENT: IND-RA abandoned your Non-fund based working capital limit | Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Sand Dune Constructions Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Fund based financial facility/instrument,Fund based financial facility/instrument,D,Reaffirmed,2025-04-07,437,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Rating overdue (437 days),URGENT: BRICKWORK abandoned your Fund based financial facility/instrument. ACER specializes in mining sector — rescue rating in 15 days.
