Company Name,Latest Instrument,Current Rater,Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Abhirama Steels Ltd.,Term loans,BRICKWORK,D,2025-08-04,MEDIUM,Steel & Metals,YES,BRICKWORK | IND-RA,2,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Abhishek Steel Inds. Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-05-21,HIGH,Steel & Metals,YES,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Advait Steel Rolling Mills Pvt. Ltd.,Term loans,CRISIL,D,2025-05-21,HIGH,Steel & Metals,YES,CRISIL,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Amoda Iron & Steel Ltd.,Bank Guarantee,CRISIL,D,2025-06-12,HIGH,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Anjaney Ferro Alloys Ltd.,Bank Guarantee,CARE,A 1+,2025-10-07,MEDIUM,Steel & Metals,YES,CARE | CRISIL,2,Bank Guarantee | Letter Of credit,Upgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Anmol Steel Processors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-10-07,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Fund based financial facility/instrument | Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Anupama Steel Ltd.,Non-government debt,CARE,BBB/A3,2025-08-07,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE,2,Letter Of credit | Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Apollo Vikas Steels Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-10-15,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Armour Steel Buildings India Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-08-12,MEDIUM,Steel & Metals,YES,CARE | CRISIL,2,Bank Guarantee | Long term Loans | Non-government debt | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Aryavrata Steel Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-12-01,MEDIUM,Steel & Metals,YES,ACUITE | CRISIL,2,Bank Guarantee | Long term Loans | Non-fund-based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Associated Broadcasting Co. Pvt. Ltd.,Fund based financial facility/instrument,ICRA,A-,2025-11-17,MEDIUM,Steel & Metals,YES,ICRA | IND-RA,2,Fund based financial facility/instrument | Non-fund based working capital limit | Non-fund-based financial facility/instrument,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
B L Foundry Pvt. Ltd.,Long term Loans,CRISIL,B,2025-11-17,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Long term Loans | Term loans,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Batliboi Environmental Engineering Ltd. [Merged],Bank Guarantee,ACUITE,A 4+,2025-07-29,MEDIUM,Steel & Metals,YES,ACUITE | IND-RA,2,Bank Guarantee | Letter Of credit | Long term Loans | Non-fund based working capital limit,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Bhadrashree Steel & Power Ltd.,Non-government debt,BRICKWORK,B,2025-06-25,MEDIUM,Steel & Metals,YES,BRICKWORK | IND-RA,2,Non-government debt | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Castings India Pvt. Ltd.,Long term Loans,CRISIL,B,2025-09-17,MEDIUM,Steel & Metals,YES,CARE | CRISIL | IND-RA,3,Long term Loans | Short-term loan | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Ceedee Metalloys Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-05-14,HIGH,Steel & Metals,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Dhan Steels Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-05-08,HIGH,Steel & Metals,YES,CARE,1,Non-government debt,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Dhanlaxmi Iron Inds. Pvt. Ltd.,Letter Of credit,CRISIL,A 2,2025-07-30,MEDIUM,Steel & Metals,YES,CRISIL | ICRA,2,Bank Guarantee | Letter Of credit,Initial Rating,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Eagle Steels Rolling Mills Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-12-08,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE,2,Bank Guarantee | Letter Of credit,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Fairdeal Steels Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2025-12-10,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Fex Foundry Alloys Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-06-09,HIGH,Steel & Metals,YES,CRISIL,1,Letter Of credit | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
G L Metallica Pvt. Ltd.,Term loans,CRISIL,B,2025-06-12,HIGH,Steel & Metals,YES,CRISIL,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Ganesh Steel & Alloys Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-20,MEDIUM,Steel & Metals,YES,CRISIL | IND-RA,2,Bank Guarantee | Fund based financial facility/instrument | Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Ganga Iron & Steel Trading Co. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-23,HIGH,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Fund based financial facility/instrument,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Global Metal & Energy Pvt. Ltd.,Term loans,ICRA,D,2025-05-22,HIGH,Steel & Metals,YES,ICRA,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Goyal Energy & Steel Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-12-10,MEDIUM,Steel & Metals,YES,CARE | CRISIL,2,Fund based financial facility/instrument | Letter Of credit | Short-term loan | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Gurpreet Galvanising Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-05-28,HIGH,Steel & Metals,YES,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Hansa Metallics Ltd.,Letter Of credit,BRICKWORK,A 4,2025-10-10,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Letter Of credit | Long term Loans | Term loans,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Harihar Alloys Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-11-24,MEDIUM,Steel & Metals,YES,CARE | IND-RA,2,Non-government debt | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Hill-Brow Metallics & Construction Pvt. Ltd.,Non-government debt,IND-RA,BB-/A4+,2025-10-30,MEDIUM,Steel & Metals,YES,BRICKWORK | IND-RA,2,Bank Guarantee | Non-fund based working capital limit | Non-government debt,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Hira Steels Ltd.,Bank Guarantee,ACUITE,A 4+,2025-10-15,MEDIUM,Steel & Metals,YES,ACUITE | IND-RA,2,Bank Guarantee | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
India Steel Continental Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-11-04,MEDIUM,Steel & Metals,YES,CARE | CRISIL | IND-RA,3,Bank Guarantee | Letter Of credit | Non-fund based working capital limit | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Indian Metals & Alloys Mfg. Co. Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-19,HIGH,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
International Tubes India Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-06-02,HIGH,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Letter Of credit | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
J G Foundry Ltd.,Term loans,BRICKWORK,B-,2025-07-02,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Long term Loans | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
J N Tayal Steels Pvt. Ltd.,Term loans,CARE,B-,2025-05-28,HIGH,Steel & Metals,YES,CARE,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
J S S Steelitalia Ltd. [Merged],Letter Of credit,CRISIL,A 4,2025-12-10,MEDIUM,Steel & Metals,YES,ACUITE | CRISIL,2,Letter Of credit | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Jindal Nickel & Alloys Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-21,HIGH,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
K B Sponge Iron Ltd.,Bank Guarantee,CARE,D,2025-05-06,HIGH,Steel & Metals,YES,CARE,1,Bank Guarantee | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
