Company Name,Instrument Type,Current Rating Agency,Current Rating,Rating Date,Urgency,Facility Amount (Cr),Why Target,ACER Pitch Angle
A N S Constructions Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,23-05-2025,ULTRA HOT,40.00,"ACUITE INC — rating lapsed 392 days ago — Bank Guarantee — competitor abandoned, ACER can capture",URGENT (12+ months overdue): BG rating renewal overdue — ACUITE abandoned this segment; ACER covers BG with faster turnaround
A N S Constructions Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,23-05-2025,ULTRA HOT,23.00,"ACUITE INC — rating lapsed 392 days ago — Bank Guarantee — competitor abandoned, ACER can capture",URGENT (12+ months overdue): BG rating renewal overdue — ACUITE abandoned this segment; ACER covers BG with faster turnaround
Aarti Suitings Pvt. Ltd.,Bank Guarantee,ACUITE,D,23-06-2025,ULTRA HOT,0.05,"ACUITE INC — rating lapsed 361 days ago — Bank Guarantee — competitor abandoned, ACER can capture",URGENT (12+ months overdue): BG rating renewal overdue — ACUITE abandoned this segment; ACER covers BG with faster turnaround
Aarti Suitings Pvt. Ltd.,Term loans,ACUITE,D,23-06-2025,ULTRA HOT,5.35,"ACUITE INC — rating lapsed 361 days ago — Term loans — competitor abandoned, ACER can capture",URGENT (12+ months overdue): Term loan rating expired — ACUITE 43.6% INC; switch to ACER for uninterrupted bank compliance
Abellon Cleanenergy Ltd.,Letter Of credit,ACUITE,A 4+,16-05-2025,ULTRA HOT,4.32,"ACUITE INC — rating lapsed 399 days ago — Letter Of credit — competitor abandoned, ACER can capture",URGENT (12+ months overdue): LC rating lapsed — ACUITE LC INC rate is 52.2%; ACER offers reliable LC rating with 15-day SLA
Abellon Cleanenergy Ltd.,Long term Loans,ACUITE,BB-,16-05-2025,ULTRA HOT,13.63,"ACUITE INC — rating lapsed 399 days ago — Long term Loans — competitor abandoned, ACER can capture",URGENT (12+ months overdue): Long-term loan rating overdue — ACUITE 33.5% INC; ACER's consistent coverage protects your credit access
Abhilasha Jewellers Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,11-06-2025,ULTRA HOT,3.18,"ACUITE INC — rating lapsed 373 days ago — Bank Guarantee — competitor abandoned, ACER can capture",URGENT (12+ months overdue): BG rating renewal overdue — ACUITE abandoned this segment; ACER covers BG with faster turnaround
Accutime Logistics Pvt. Ltd.,Long term Loans,ACUITE,C,10-06-2025,ULTRA HOT,6.00,"ACUITE INC — rating lapsed 374 days ago — Long term Loans — competitor abandoned, ACER can capture",URGENT (12+ months overdue): Long-term loan rating overdue — ACUITE 33.5% INC; ACER's consistent coverage protects your credit access
Ajay (India) Ltd.,Term loans,ACUITE,B,12-05-2025,ULTRA HOT,15.00,"ACUITE INC — rating lapsed 403 days ago — Term loans — competitor abandoned, ACER can capture",URGENT (12+ months overdue): Term loan rating expired — ACUITE 43.6% INC; switch to ACER for uninterrupted bank compliance
Ajay Builders Engineers & Construction Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,19-05-2025,ULTRA HOT,56.00,"ACUITE INC — rating lapsed 396 days ago — Bank Guarantee — competitor abandoned, ACER can capture",URGENT (12+ months overdue): BG rating renewal overdue — ACUITE abandoned this segment; ACER covers BG with faster turnaround
