Company Name,Instrument Type,Current Rating Agency,Current Rating,Rating Date,Urgency,Facility Amount (Cr),Why Target,ACER Pitch Angle
4S Spintex India Pvt. Ltd.,Term loans,CARE,B-,07-05-2025,ULTRA HOT,13.69,CARE INC — rating lapsed 408 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
A J R Infra & Tolling Ltd.,Bank Guarantee,CARE,D,23-05-2025,ULTRA HOT,35.00,CARE INC — rating lapsed 392 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
A K Infraprojects Pvt. Ltd.,Fund based financial facility/instrument,CARE,BB-,10-06-2025,ULTRA HOT,12.00,CARE INC — rating lapsed 374 days ago — Fund based financial facility/instrument,CRITICAL — 12+ months overdue: CARE fund-based INC 37.5% — bank facility rating lapsed. ACER re-rates in 10 business days
A K Infraprojects Pvt. Ltd.,Non-government debt,CARE,BB-/A4,10-06-2025,ULTRA HOT,35.00,CARE INC — rating lapsed 374 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
A M R India Ltd.,Bank Guarantee,CARE,A 4,14-05-2025,ULTRA HOT,389.95,CARE INC — rating lapsed 401 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
A1 Chips & Exports (India) Pvt. Ltd.,Non-fund-based financial facility/instrument,CARE,A 4,23-05-2025,ULTRA HOT,0.02,CARE INC — rating lapsed 392 days ago — Non-fund-based financial facility/instrument,CRITICAL — 12+ months overdue: Non-fund facility rating lapsed — ACER covers NFB instruments with same-day turnaround on documentation
A1 Chips & Exports (India) Pvt. Ltd.,Term loans,CARE,B-,23-05-2025,ULTRA HOT,3.27,CARE INC — rating lapsed 392 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Aadarsh Pvt. Ltd.,Bank Guarantee,CARE,A 4,17-06-2025,ULTRA HOT,1.50,CARE INC — rating lapsed 367 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Aadarsh Pvt. Ltd.,Letter Of credit,CARE,A 4,17-06-2025,ULTRA HOT,2.00,CARE INC — rating lapsed 367 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Aakash Exploration Services Ltd.,Non-government debt,CARE,BB+/A4+,02-06-2025,ULTRA HOT,7.50,CARE INC — rating lapsed 382 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Aakash Exploration Services Ltd.,Non-government debt,CARE,BB+/A4+,02-06-2025,ULTRA HOT,10.00,CARE INC — rating lapsed 382 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Aakash Exploration Services Ltd.,Term loans,CARE,BB+,02-06-2025,ULTRA HOT,7.50,CARE INC — rating lapsed 382 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Aakavi Spinning Mills Pvt. Ltd.,Term loans,CARE,B-,23-06-2025,ULTRA HOT,1.61,CARE INC — rating lapsed 361 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Ace Brain Systems & Software Pvt. Ltd.,Bank Guarantee,CARE,A 4,28-05-2025,ULTRA HOT,6.50,CARE INC — rating lapsed 387 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Ace Brain Systems & Software Pvt. Ltd.,Letter Of credit,CARE,A 4,28-05-2025,ULTRA HOT,1.00,CARE INC — rating lapsed 387 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Advance Metering Technology Ltd.,Non-government debt,CARE,C/A4,03-06-2025,ULTRA HOT,8.50,CARE INC — rating lapsed 381 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Aircel Cellular Ltd.,Bank Guarantee,CARE,D,26-05-2025,ULTRA HOT,3750.00,CARE INC — rating lapsed 389 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Aircel Cellular Ltd.,Term loans,CARE,D,26-05-2025,ULTRA HOT,13729.00,CARE INC — rating lapsed 389 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Aircel Ltd.,Bank Guarantee,CARE,D,26-05-2025,ULTRA HOT,3750.00,CARE INC — rating lapsed 389 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Aircel Ltd.,Term loans,CARE,D,26-05-2025,ULTRA HOT,13729.00,CARE INC — rating lapsed 389 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Aircel Smart Money Ltd.,Bank Guarantee,CARE,D,26-05-2025,ULTRA HOT,3750.00,CARE INC — rating lapsed 389 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Aircel Smart Money Ltd.,Term loans,CARE,D,26-05-2025,ULTRA HOT,13729.00,CARE INC — rating lapsed 389 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Alamelu Balaji Spg. Mills Pvt. Ltd.,Bank Guarantee,CARE,A 4,09-05-2025,ULTRA HOT,0.20,CARE INC — rating lapsed 406 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Alamelu Balaji Spg. Mills Pvt. Ltd.,Letter Of credit,CARE,A 4,09-05-2025,ULTRA HOT,0.20,CARE INC — rating lapsed 406 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Alamelu Balaji Spg. Mills Pvt. Ltd.,Term loans,CARE,B-,09-05-2025,ULTRA HOT,0.10,CARE INC — rating lapsed 406 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Alcob India Pvt. Ltd.,Bank Guarantee,CARE,D,04-06-2025,ULTRA HOT,12.25,CARE INC — rating lapsed 380 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Alcob India Pvt. Ltd.,Letter Of credit,CARE,D,04-06-2025,ULTRA HOT,4.50,CARE INC — rating lapsed 380 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Alom Poly Extrusions Ltd.,Bank Guarantee,CARE,A 4,08-05-2025,ULTRA HOT,0.65,CARE INC — rating lapsed 407 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Alpha Pacific Systems Pvt. Ltd.,Non-government debt,CARE,B/A4,16-05-2025,ULTRA HOT,4.00,CARE INC — rating lapsed 399 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Angle Infrastructure Pvt. Ltd.,Term loans,CARE,D,13-05-2025,ULTRA HOT,90.00,CARE INC — rating lapsed 402 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
