City,State,Region,Total_Companies,INC_Companies,ULTRA_HOT,HOT,INC_Rate_Pct
Anand,Gujarat,West,40,24,10,21,60.0
Agra,Uttar Pradesh,North,27,10,4,17,37.0
Chennai,Tamil Nadu,South,25,9,5,17,36.0
Mumbai,Maharashtra,West,20,3,4,8,15.0
Hyderabad,Telangana,South,19,5,3,7,26.3
Delhi,Delhi,North,18,5,3,10,27.8
Puri,Odisha,East,15,7,1,9,46.7
Pune,Maharashtra,West,14,5,3,6,35.7
Indore,Madhya Pradesh,Central,13,9,1,5,69.2
Jaipur,Rajasthan,North,10,4,3,6,40.0
Bangalore,Karnataka,South,10,6,3,5,60.0
Kota,Rajasthan,North,8,1,3,3,12.5
Visakhapatnam,Andhra Pradesh,South,7,1,1,3,14.3
Kanpur,Uttar Pradesh,North,7,3,1,3,42.9
Baroda,Gujarat,West,6,4,1,4,66.7
Gurgaon,Haryana,North,6,2,3,0,33.3
Cochin,Kerala,South,6,2,0,6,33.3
Ahmedabad,Gujarat,West,6,2,2,2,33.3
Mangalore,Karnataka,South,6,1,2,2,16.7
Jodhpur,Rajasthan,North,6,1,0,5,16.7
Coimbatore,Tamil Nadu,South,6,2,1,4,33.3
Vizag,Andhra Pradesh,South,5,2,2,1,40.0
Udaipur,Rajasthan,North,5,0,0,3,0.0
Bengaluru,Karnataka,South,5,1,0,3,20.0
Bhopal,Madhya Pradesh,Central,5,4,2,1,80.0
Patna,Bihar,East,5,3,0,2,60.0
Kolkata,West Bengal,East,5,3,2,2,60.0
Ludhiana,Punjab,North,5,1,0,4,20.0
Chandigarh,Punjab,North,4,0,1,2,0.0
Raipur,Chhattisgarh,Central,4,0,0,4,0.0
Alwar,Rajasthan,North,4,3,0,2,75.0
Ghaziabad,Uttar Pradesh,North,4,2,2,2,50.0
Vadodara,Gujarat,West,4,0,0,1,0.0
Madurai,Tamil Nadu,South,3,2,0,1,66.7
Mysore,Karnataka,South,3,1,0,0,33.3
Surat,Gujarat,West,3,1,0,2,33.3
Thane,Maharashtra,West,3,1,0,3,33.3
Calcutta,West Bengal,East,3,3,1,1,100.0
Noida,Uttar Pradesh,North,3,1,1,2,33.3
Meerut,Uttar Pradesh,North,3,1,1,1,33.3
Haridwar,Uttarakhand,North,3,1,0,3,33.3
Solapur,Maharashtra,West,3,2,1,2,66.7
Durgapur,West Bengal,East,3,2,0,1,66.7
Belgaum,Karnataka,South,2,0,0,1,0.0
Aurangabad,Maharashtra,West,2,0,1,1,0.0
Varanasi,Uttar Pradesh,North,2,1,0,1,50.0
Nagpur,Maharashtra,West,2,1,0,2,50.0
Kolhapur,Maharashtra,West,2,1,0,1,50.0
Howrah,West Bengal,East,2,2,0,2,100.0
Hubli,Karnataka,South,2,1,1,1,50.0
Erode,Tamil Nadu,South,2,1,0,2,50.0
Nashik,Maharashtra,West,2,0,0,0,0.0
Vijayawada,Andhra Pradesh,South,2,0,0,0,0.0
Panipat,Haryana,North,2,2,1,1,100.0
Ranchi,Jharkhand,East,2,1,1,1,50.0
Jabalpur,Madhya Pradesh,Central,2,1,2,0,50.0
Bhilwara,Rajasthan,North,1,1,0,1,100.0
Allahabad,Uttar Pradesh,North,1,0,0,1,0.0
Amritsar,Punjab,North,1,1,0,0,100.0
Bhilai,Chhattisgarh,Central,1,0,1,0,0.0
Cuttack,Odisha,East,1,1,0,1,100.0
Guwahati,Assam,East,1,1,0,1,100.0
Gwalior,Madhya Pradesh,Central,1,1,0,1,100.0
Kozhikode,Kerala,South,1,1,0,0,100.0
Lucknow,Uttar Pradesh,North,1,1,0,1,100.0
Kochi,Kerala,South,1,0,0,1,0.0
Jalandhar,Punjab,North,1,0,0,1,0.0
Jamshedpur,Jharkhand,East,1,0,0,1,0.0
Dehradun,Uttarakhand,North,1,0,0,1,0.0
Mehsana,Gujarat,West,1,0,0,1,0.0
Muzaffarpur,Bihar,East,1,1,0,1,100.0
Rajkot,Gujarat,West,1,0,0,0,0.0
Siliguri,West Bengal,East,1,1,0,0,100.0
Secunderabad,Telangana,South,1,1,0,1,100.0
Shimla,Himachal Pradesh,North,1,1,0,0,100.0
Rourkela,Odisha,East,1,0,0,0,0.0
Salem,Tamil Nadu,South,1,0,0,1,0.0
Thiruvananthapuram,Kerala,South,1,0,0,1,0.0
Trichy,Tamil Nadu,South,1,1,0,1,100.0
