Company Name,Primary Agency,Urgency,Inferred State,Inferred Region,City Cluster,IsINC
Ashoka Belgaum Dharwad Tollway Ltd.,ICRA,HOT,Karnataka,South,Belgaum,False
Ashoka Belgaum Khanapur Road Pvt. Ltd.,ICRA,WARM,Karnataka,South,Belgaum,False
Ashoka Ranastalam Anandapuram Road Ltd.,ICRA,HOT,Gujarat,West,Anand,False
Asia (Chennai) Engineering Co. Pvt. Ltd.,IND-RA,HOT,Tamil Nadu,South,Chennai,True
Athena Jaipur Solar Power Pvt. Ltd.,CARE,HOT,Rajasthan,North,Jaipur,False
B D Industries (Pune) Ltd.,ACUITE,ULTRA HOT,Maharashtra,West,Pune,True
B G Aligarh Kanpur Highway Pvt. Ltd.,BRICKWORK,WARM,Uttar Pradesh,North,Kanpur,False
Bafna Motors (Mumbai) Pvt. Ltd.,ICRA,WARM,Maharashtra,West,Mumbai,True
Bam D L R Chennai Pvt. Ltd.,IND-RA,HOT,Tamil Nadu,South,Chennai,False
Bamboo Hotel & Global Centre (Delhi) Pvt. Ltd.,ICRA,HOT,Delhi,North,Delhi,False
Bangalore Airport Hotel Ltd.,IND-RA,HOT,Karnataka,South,Bangalore,False
Bangalore Electricity Supply Co. Ltd.,IND-RA,HOT,Karnataka,South,Bangalore,True
Bangalore International Airport Ltd.,IND-RA,ULTRA HOT,Karnataka,South,Bangalore,False
Bangalore Metallurgicals Pvt. Ltd.,ICRA,WARM,Karnataka,South,Bangalore,True
Bangalore Tower Pvt. Ltd.,IND-RA,HOT,Karnataka,South,Bangalore,False
Bank Of Baroda,IND-RA,ULTRA HOT,Gujarat,West,Baroda,False
Baroda Agro Chemicals Ltd.,CARE,HOT,Gujarat,West,Baroda,True
Baroda Hi-Tech Alloys Pvt. Ltd.,CARE,HOT,Gujarat,West,Baroda,True
Bengaluru Airport Services Ltd.,ICRA,WARM,Karnataka,South,Bengaluru,False
Bhilai Engineering Corpn. Ltd.,ACUITE,ULTRA HOT,Chhattisgarh,Central,Bhilai,False
Bhilwara Spinners Ltd.,CARE,HOT,Rajasthan,North,Bhilwara,True
Bhopal Switch Gears Pvt. Ltd.,BRICKWORK,ULTRA HOT,Madhya Pradesh,Central,Bhopal,True
Bhopal Tractors Pvt. Ltd.,CARE,HOT,Madhya Pradesh,Central,Bhopal,True
Bird Worldwide Flight Service Mumbai Pvt. Ltd.,CARE,WARM,Maharashtra,West,Mumbai,False
Bliss Anand Pvt. Ltd.,CRISIL,ULTRA HOT,Gujarat,West,Anand,True
Brahampuri Steels Ltd.,ACUITE,WARM,Odisha,East,Puri,True
Brahmanand Himghar Ltd.,CRISIL,HOT,Gujarat,West,Anand,True
Brahmos Aerospace Thiruvananthapuram Ltd.,CARE,HOT,Kerala,South,Thiruvananthapuram,False
Calcutta Radio Service Pvt. Ltd.,IND-RA,WARM,West Bengal,East,Calcutta,True
Calcutta Springs Ltd.,CRISIL,HOT,West Bengal,East,Calcutta,True
Candor Gurgaon One Realty Projects Pvt. Ltd.,CRISIL,WARM,Haryana,North,Gurgaon,False
Casagrand Premier Builder Ltd.,CRISIL,HOT,Uttar Pradesh,North,Agra,False
Cauvery Powergeneration Chennai Pvt. Ltd.,CRISIL,HOT,Tamil Nadu,South,Chennai,True
Celebi Delhi Cargo Terminal Mgmt. India Pvt. Ltd.,CARE,ULTRA HOT,Delhi,North,Delhi,True
Chandigarh Power Distribution Ltd.,IND-RA,HOT,Punjab,North,Chandigarh,False
Chayagraphics Healthcare Pvt. Ltd.,ICRA,WARM,Uttar Pradesh,North,Agra,True
Chennai Business Tower Pvt. Ltd.,ICRA,HOT,Tamil Nadu,South,Chennai,False
Chennai Enviro Solutions Pvt. Ltd.,IND-RA,HOT,Tamil Nadu,South,Chennai,False
Chennai International Terminals Pvt. Ltd.,ICRA,HOT,Tamil Nadu,South,Chennai,False
Chennai Petroleum Corpn. Ltd.,CRISIL,HOT,Tamil Nadu,South,Chennai,False
Chennai Radha Engineering Works Pvt. Ltd.,CRISIL,ULTRA HOT,Tamil Nadu,South,Chennai,False
Chennai Rice Inds. India Pvt. Ltd.,BRICKWORK,ULTRA HOT,Tamil Nadu,South,Chennai,True
Chennai United Metal Inds. Pvt. Ltd.,BRICKWORK,HOT,Tamil Nadu,South,Chennai,False
Chetan Overseas Delhi Pvt. Ltd.,IND-RA,HOT,Delhi,North,Delhi,True
Cipy Poly Urethanes Pvt. Ltd. [Merged],BRICKWORK,HOT,Maharashtra,West,Thane,False
Clean Solar Power (Jodhpur) Pvt. Ltd.,CARE,WARM,Rajasthan,North,Jodhpur,False
Cochin Bridge Infrastructure Co. Ltd.,ICRA,HOT,Kerala,South,Cochin,True
Cochin Frozen Food Exports Pvt. Ltd.,CARE,HOT,Kerala,South,Cochin,True
Cochin Minerals & Rutile Ltd.,CARE,HOT,Kerala,South,Cochin,False
Cochin Shipyard Ltd.,CARE,HOT,Kerala,South,Cochin,False
Coimbatore Capital Ltd.,CARE,HOT,Tamil Nadu,South,Coimbatore,False
Coimbatore Pioneer Fertilizers Pvt. Ltd.,CRISIL,HOT,Tamil Nadu,South,Coimbatore,True
Coimbatore Polytex Pvt. Ltd.,CRISIL,HOT,Tamil Nadu,South,Coimbatore,False
Cuttack Resins Pvt. Ltd.,IND-RA,HOT,Odisha,East,Cuttack,True
D L F Info City Developers (Chandigarh) Ltd.,ICRA,ULTRA HOT,Punjab,North,Chandigarh,False
D P Jain Bangalore-Chennai Expressways Pvt. Ltd.,CARE,HOT,Tamil Nadu,South,Chennai,True
D P World Multimodal Logistics Hyderabad Pvt. Ltd.,ICRA,ULTRA HOT,Telangana,South,Hyderabad,False
D R A Dharmapuri Infra Pvt. Ltd.,CARE,HOT,Odisha,East,Puri,False
Delhi Airport Parking Services Pvt. Ltd.,ICRA,WARM,Delhi,North,Delhi,False
Delhi Aviation Fuel Facility Pvt. Ltd.,ICRA,HOT,Delhi,North,Delhi,False
Delhi Cargo Service Center Pvt. Ltd.,IND-RA,WARM,Delhi,North,Delhi,False
Delhi Duty Free Services Pvt. Ltd.,CARE,HOT,Delhi,North,Delhi,False
Delhi Flour Mills Co. Ltd.,CARE,WARM,Delhi,North,Delhi,False
Delhi International Airport Ltd.,ICRA,ULTRA HOT,Delhi,North,Delhi,False
Delhi International Cargo Terminal Pvt. Ltd.,CARE,HOT,Delhi,North,Delhi,False
Delhi M S W Solutions Ltd.,IND-RA,WARM,Delhi,North,Delhi,False
Delhi Transco Ltd.,IND-RA,HOT,Delhi,North,Delhi,False
Delhi Waste Mgmt. Ltd.,ICRA,WARM,Delhi,North,Delhi,True
Dharmanandan Diamonds Pvt. Ltd.,ICRA,HOT,Gujarat,West,Anand,False
Diamond Engineering (Chennai) Pvt. Ltd.,CRISIL,HOT,Tamil Nadu,South,Chennai,True
