Company Name,Instrument Type,Current Rating Agency,Current Rating,Rating Date,Urgency,Facility Amount (Cr),Why Target,ACER Pitch Angle
A G S Transact Technologies Ltd.,Term loans,IND-RA,D,08-05-2025,ULTRA HOT,567.30,IND-RA INC — Term loans — 407 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
A K R Industries Pvt. Ltd.,Term loans,IND-RA,BB,28-05-2025,ULTRA HOT,47.60,IND-RA INC — Term loans — 387 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
Abacus Lifestyle Brands Ltd.,Non-fund based working capital limit,IND-RA,A 4,12-05-2025,ULTRA HOT,2.00,IND-RA INC — Non-fund based working capital limit — 403 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
Abacus Lifestyle Brands Ltd.,Term loans,IND-RA,B+,12-05-2025,ULTRA HOT,2.36,IND-RA INC — Term loans — 403 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
Ace Infotexis Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4+,23-05-2025,ULTRA HOT,6.25,IND-RA INC — Non-fund based working capital limit — 392 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
Adarsha Auto World Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4,19-06-2025,ULTRA HOT,4.00,IND-RA INC — Non-fund based working capital limit — 365 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
Adarsha Auto World Pvt. Ltd.,Term loans,IND-RA,B+,19-06-2025,ULTRA HOT,9.65,IND-RA INC — Term loans — 365 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
Arabian Petroleum Ltd.,Term loans,IND-RA,BB-,12-05-2025,ULTRA HOT,3.93,IND-RA INC — Term loans — 403 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
Arrow Constructions Ltd.,Non-fund based working capital limit,IND-RA,D,09-05-2025,ULTRA HOT,8.00,IND-RA INC — Non-fund based working capital limit — 406 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
Asiatic Electrical & Switchgear Pvt. Ltd.,Non-fund based working capital limit,IND-RA,D,16-05-2025,ULTRA HOT,15.00,IND-RA INC — Non-fund based working capital limit — 399 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
Asiatic Electrical & Switchgear Pvt. Ltd.,Term loans,IND-RA,D,16-05-2025,ULTRA HOT,15.00,IND-RA INC — Term loans — 399 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
B C Bhuyan Constructions Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4+,03-06-2025,ULTRA HOT,20.00,IND-RA INC — Non-fund based working capital limit — 381 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
B C Bhuyan Constructions Pvt. Ltd.,Term loans,IND-RA,BB,03-06-2025,ULTRA HOT,1.00,IND-RA INC — Term loans — 381 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
Chetas Control Systems Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 3,24-06-2025,ULTRA HOT,56.80,IND-RA INC — Non-fund based working capital limit — 360 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
Embee Agro Food Inds. Pvt. Ltd.,Term loans,IND-RA,D,03-06-2025,ULTRA HOT,8.60,IND-RA INC — Term loans — 381 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
Escon Elevators Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4+,12-05-2025,ULTRA HOT,18.00,IND-RA INC — Non-fund based working capital limit — 403 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
Escon Elevators Pvt. Ltd.,Term loans,IND-RA,BB-,12-05-2025,ULTRA HOT,5.00,IND-RA INC — Term loans — 403 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
G M A Pinnacle Automotives Pvt. Ltd.,Term loans,IND-RA,B,08-05-2025,ULTRA HOT,2.67,IND-RA INC — Term loans — 407 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
G M A Pinnacle Automotives Pvt. Ltd.,Term loans,IND-RA,B,08-05-2025,ULTRA HOT,2.32,IND-RA INC — Term loans — 407 days lapsed,URGENT: IND-RA term loan INC 26.6% — bank compliance gap; ACER offers 15-day fresh rating
Hetro Spinners Pvt. Ltd.,Non-fund based working capital limit,IND-RA,D,09-05-2025,ULTRA HOT,1.52,IND-RA INC — Non-fund based working capital limit — 406 days lapsed,URGENT: IND-RA non-fund WC 33% INC — ACER can offer faster re-rating for working capital renewal
