Infomerics_Company,D365_Match,Match_Score,Name_upper,Agency,Rating,Date,Is_INC,Urgency,Inf_upper,Inf_Rating,Inf_Instrument,Inf_Urgency
AMBA SHAKTI STEELS LIMITED,AMBA SHAKTI STEELS LTD.,0.898,AMBA SHAKTI STEELS LTD.,CRISIL,BBB,20-02-2026,False,LOW,AMBA SHAKTI STEELS LIMITED,IVR A3 (Upgraded and Withdrawn),Short Term Bank Facilities,HIGH
ANINDITA STEELS LIMITED,ANINDITA STEELS LTD.,0.884,ANINDITA STEELS LTD.,CRISIL,BBB,22-09-2025,False,MEDIUM,ANINDITA STEELS LIMITED,IVR B- (INC)(Downgraded),Long Term Bank Facilities,MEDIUM
ARYA STEELS ROLLING (INDIA) PRIVATE LIMITED,ARYA STEELS ROLLING (INDIA) PVT. LTD.,0.875,ARYA STEELS ROLLING (INDIA) PVT. LTD.,CRISIL,A 4,21-04-2026,True,LOW,ARYA STEELS ROLLING (INDIA) PRIVATE LIMITED,IVR A4+ (INC)(Downgraded),Short Term Bank Facilities,MEDIUM
BALASORE ALLOYS LIMITED,BALASORE ALLOYS LTD.,0.884,BALASORE ALLOYS LTD.,BRICKWORK,D,09-05-2025,False,HIGH,BALASORE ALLOYS LIMITED,IVR BB (Assigned),Proposed Long Term Bank Facility,MEDIUM
BHASKAR STEEL AND FERRO ALLOY PRIVATE LIMITED,BHASKAR STEEL & FERRO ALLOY PVT. LTD.,0.829,BHASKAR STEEL & FERRO ALLOY PVT. LTD.,ACUITE,BBB,12-03-2026,False,LOW,BHASKAR STEEL AND FERRO ALLOY PRIVATE LIMITED,IVR BBB- (Upgraded and Withdrawn),Long Term Bank Facilities,HIGH
BINDAL STAINLESS LIMITED,JINDAL STAINLESS LTD.,0.844,JINDAL STAINLESS LTD.,CRISIL,AA,20-03-2026,False,LOW,BINDAL STAINLESS LIMITED,IVR A3+ (Assigned),Short Term Bank Facilities,LOW
BRAVO SPONGE IRON PRIVATE LIMITED,BRAVO SPONGE IRON PVT. LTD.,0.833,BRAVO SPONGE IRON PVT. LTD.,CRISIL,A 2,18-09-2025,False,MEDIUM,BRAVO SPONGE IRON PRIVATE LIMITED,IVR BB+ (INC)(Reaffirmed and Withdrawn),Long Term Bank Facilities,HIGH
CHAMPION ROLLING MILL PRIVATE LIMITED,CHAMPION ROLLING MILL PVT. LTD.,0.853,CHAMPION ROLLING MILL PVT. LTD.,IND-RA,A 4+,25-06-2025,True,MEDIUM,CHAMPION ROLLING MILL PRIVATE LIMITED,IVR BBB- (Reaffirmed),Long Term Bank Facilities,HIGH
DECCAN FERRO ALLOYS PRIVATE LIMITED,DECCAN FERRO ALLOYS PVT. LTD.,0.844,DECCAN FERRO ALLOYS PVT. LTD.,ACUITE,BBB+,04-07-2025,False,MEDIUM,DECCAN FERRO ALLOYS PRIVATE LIMITED,IVR BB+ (INC)(Reaffirmed and Withdrawn),Long Term Fund Based Facility,HIGH
DEVI IRON & POWER PRIVATE LIMITED,DEVI IRON & POWER PVT. LTD.,0.833,DEVI IRON & POWER PVT. LTD.,ICRA,B+,21-04-2026,True,LOW,DEVI IRON & POWER PRIVATE LIMITED,IVR A (Upgraded),Long Term Bank Facilities,LOW
