Rank,Company_Name,Sector,Instrument,Current_Rater,Rating,Rating_Date,Urgency,INC_Flag,Tier,Why_Target,ACER_Pitch_Angle
1,Puran Chand Rice Mills Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,CRISIL,A 3+,2025-06-05,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
2,Universal Infra & Agri Oils Pvt. Ltd.,AgroFood,Fund based financial facility/instrument,CARE,B+,2025-06-13,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
3,A.V. Agro Foods,AgroFood,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Reaffirmed and withdrawn),2023-12-27,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
4,Abraq Agro Fresh LLP,AgroFood,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-02-19,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
5,Agri Process Innovations & Technologies LLP,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-04-23,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
6,Avyukta Agro Impex Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),2025-05-29,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
7,Baba Kailashpati Agro Processing Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2025-05-08,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
8,Baba Naga Agro Pvt. Ltd.,AgroFood,Letter Of credit,BRICKWORK,A 4,2025-05-16,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
9,Camson Agri-Ventures Pvt. Ltd.,AgroFood,Bank Guarantee,CARE,D,2025-05-26,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
10,Chennai Rice Inds. India Pvt. Ltd.,AgroFood,Bank Guarantee,BRICKWORK,A 4,2025-05-27,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
