Company_Name,Instrument_Type,Current_Rater,Rating,Rating_Date,Urgency,Is_INC,Tier,Sector,State,Why_Target,ACER_Pitch_Angle,Source
Acme Chittorgarh Solar Energy Pvt. Ltd.,Term loans,ICRA,AA-,29-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Acme Sidlaghatta Solar Energy Pvt. Ltd.,Term loans,IND-RA,BBB+,12-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Solar Energy Kutchh One Ltd.,Term loans,IND-RA,AA+,22-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Solar Energy Kutchh Two Pvt. Ltd.,Term loans,IND-RA,AA,22-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adept Renewable Technologies Pvt. Ltd.,Term loans,IND-RA,AA-,13-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Ampin Energy Green Three Pvt. Ltd.,Term loans,CARE,BBB+,20-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aryan Energy Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,06-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Atria Wind Power (Savarakundla) Pvt. Ltd.,Term loans,CRISIL,BBB-,21-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Atria Wind Power Pvt. Ltd.,Bank Guarantee,CARE,BB+,27-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Bagpat Green Energy Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 1,04-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Bokaro Power Supply Co. Pvt. Ltd.,Short-term loan,ACUITE,A 1+,12-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Capital Power Systems Ltd.,Letter Of credit,ACUITE,A 2,06-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
