Company_Name,Instrument,Agency,Rating,Grade,Date,Urgency,Tier,Sector,Why_Target,ACER_Pitch
Indiana Hospital & Heart Institute Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,High Risk,29-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
R S A L Steel Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,Default,29-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
Andhra Polymers Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,High Risk,29-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
Chidambaram Shipcare Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,High Risk,29-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
R L J Polyfab Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,High Risk,28-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
R K G International Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,High Risk,28-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
Aditya Vidyut Appliances Ltd.,Non-fund-based financial facility/instrument,ICRA,D,Default,28-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
Neco Heavy Engg. & Castings Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,High Risk,28-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
Goodluck Carbon Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,Default,28-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
Hotcrete Infrastructure Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,C,Substantial Risk,27-04-2026,LOW,WARM,Cross-sector (ICRA NF),ICRA NF INC — non-fund-based facility lapsed. ICRA overloaded with risky NF portfolio; company needs new rater.,ICRA NF INC status. ACER fresh-start pitch for non-fund instruments.
