Company_Name,Date,Instruments,Size,Current_Ratings,Outlook,PDF,URL,Is_INC,Date_parsed,Urgency,is_steel,Name_upper,Urgency_final,Tier,Current_Rater,Sector,Source
Bihar Foundry & Casting Limited,"February 9, 2026",Long Term Bank Facilities,Rs. 822.82 Cr. (enhanced from Rs. 807.82 Cr.),IVR A (Upgraded),Stable,https://infomericstorage.blob.core.windows.net/uploads/PR_Bihar_Foundry_and_Casting09_Feb26_06485c3ae1.pdf,https://www.infomerics.com/pressrelease/bihar-foundry--casting-limited,False,2026-02-09,LOW,True,BIHAR FOUNDRY & CASTING LIMITED,LOW,ACTIVE,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Rashi Steel and Power Limited,"February 9, 2026",Long Term Bank Facilities (Proposed),Rs. 20.00 Cr.,IVR BBB (Reaffirmed),Stable,https://infomericstorage.blob.core.windows.net/uploads/pr_Rashi_Steel_9feb26_5ab866e3a0.pdf,https://www.infomerics.com/pressrelease/rashi-steel-and-power-limited,False,2026-02-09,LOW,True,RASHI STEEL AND POWER LIMITED,LOW,ACTIVE,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Pulkit Metals Private Limited,"February 5, 2026",Short Term Bank Facilities,Rs. 179.00 Cr.,IVR A2+ (Assigned),Nil,https://infomericstorage.blob.core.windows.net/uploads/PR_Pulkit_Metals05_Feb26_f20458d41d.pdf,https://www.infomerics.com/pressrelease/pulkit-metals-private-limited,False,2026-02-05,LOW,True,PULKIT METALS PRIVATE LIMITED,LOW,ACTIVE,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Pushpit Steels Private Limited,"February 5, 2026",Long Term Bank Facilities,Rs. 655.46 Cr.,IVR A- (Assigned),Stable,https://infomericstorage.blob.core.windows.net/uploads/pr_pushpit_steels_5feb26_d4ed9515bf.pdf,https://www.infomerics.com/pressrelease/pushpit-steels-private-limited,False,2026-02-05,LOW,True,PUSHPIT STEELS PRIVATE LIMITED,LOW,ACTIVE,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Prabodh Steel Private Limited,"February 2, 2026",Long Term Bank Facilities,Rs. 33.52 Cr.,IVR B (INC) (Downgraded),Negative,https://infomericstorage.blob.core.windows.net/uploads/PR_Prabodh_Steel_02_Feb26_67f9fe5e23.pdf,https://www.infomerics.com/pressrelease/prabodh-steel-private-limited,True,2026-02-02,LOW,True,PRABODH STEEL PRIVATE LIMITED,LOW,WARM,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Magnum MI Steel Private Limited,"February 2, 2026",Short Term Bank Facilities,Rs. 21.66 Cr.,IVR A2+ (Assigned),Nil,https://infomericstorage.blob.core.windows.net/uploads/PR_Magnum_MI_Steel02_Feb26_63e22a5166.pdf,https://www.infomerics.com/pressrelease/magnum-mi-steel-private-limited,False,2026-02-02,LOW,True,MAGNUM MI STEEL PRIVATE LIMITED,LOW,ACTIVE,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Panesar Steel & Power Limited,"January 29, 2026",Long Term Bank Facilities,Rs. 33.63 Cr.,IVR B+ (INC) (Downgraded),Negative,https://infomericstorage.blob.core.windows.net/uploads/PR_Panesar_Steel_and_Power29_Jan26_806f0fb09b.pdf,https://www.infomerics.com/pressrelease/panesar-steel--power-limited,True,2026-01-29,LOW,True,PANESAR STEEL & POWER LIMITED,LOW,WARM,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Amar Partap Steel Private Limited,"January 23, 2026",Long Term Facilities,Rs. 63.70 Cr.,IVR BB+ (INC)(Downgraded),Negative,https://infomericstorage.blob.core.windows.net/uploads/pr_amarpartap_steels_23jan26_be9d9a0221.pdf,https://www.infomerics.com/pressrelease/amar-partap-steel-private-limited,True,2026-01-23,LOW,True,AMAR PARTAP STEEL PRIVATE LIMITED,LOW,WARM,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Alankar Alloys Private Limited,"January 22, 2026",Short Term Bank Facilities (Proposed),Rs. 1.10 Cr.,IVR A4+ (INC)(Downgraded),Nil,https://infomericstorage.blob.core.windows.net/uploads/pr_alankar_alloys_22jan26_4ee64eec3e.pdf,https://www.infomerics.com/pressrelease/alankar-alloys-private-limited,True,2026-01-22,LOW,True,ALANKAR ALLOYS PRIVATE LIMITED,LOW,WARM,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
Sourabh Rolling Mills Private Limited,"January 22, 2026",Long Term Bank Facility,Rs. 49.00 Cr.,IVR BB+ (INC)(Downgraded),Negative,https://infomericstorage.blob.core.windows.net/uploads/pr_Sourabh_Rolling_Mills_22jan26_c3ea3f30f8.pdf,https://www.infomerics.com/pressrelease/sourabh-rolling-mills-private-limited,True,2026-01-22,LOW,True,SOURABH ROLLING MILLS PRIVATE LIMITED,LOW,WARM,Infomerics,Steel & Metals,Infomerics-Only (not in D365)
