Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,INC_Flag,Urgency,Months_Since_Rating,Days_Since_Rating,is_INC,Category
Ashoka Distillers & Chemicals Pvt. Ltd.,2025-05-26,CRISIL,Long term Loans,High Risk,B,Downgraded,43.00,Y,HIGH,13.0,390.0,True,ULTRA HOT
Ashoka Pulp & Paper Pvt. Ltd.,2025-05-14,CRISIL,Letter Of credit,Default,D,Downgraded,4.00,Y,HIGH,13.4,402.0,True,ULTRA HOT
Ashoka Pulp & Paper Pvt. Ltd.,2025-05-14,CRISIL,Long term Loans,Default,D,Downgraded,3.00,Y,HIGH,13.4,402.0,True,ULTRA HOT
Ashoka Pulp & Paper Pvt. Ltd.,2025-05-14,CRISIL,Term loans,Default,D,Downgraded,15.00,Y,HIGH,13.4,402.0,True,ULTRA HOT
Ashoka Sthapatya Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Risk,A 4+,Downgraded,24.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Ashoka Sthapatya Ltd.,2025-06-25,CRISIL,Term loans,Inadequate Safety,BB+,Downgraded,6.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Asian Multiplexes Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,Inadequate Safety,BB+,Downgraded,5.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Astra Lifecare (India) Pvt. Ltd.,2025-06-24,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,8.00,Y,HIGH,12.0,361.0,True,ULTRA HOT
Astra Lifecare (India) Pvt. Ltd.,2025-06-24,CRISIL,Long term Loans,High Risk,B,Reaffirmed,17.23,Y,HIGH,12.0,361.0,True,ULTRA HOT
Astra Lifecare (India) Pvt. Ltd.,2025-06-24,CRISIL,Term loans,High Risk,B,Reaffirmed,10.50,Y,HIGH,12.0,361.0,True,ULTRA HOT
B C Bhuyan Constructions Pvt. Ltd.,2025-06-18,CRISIL,Bank Guarantee,High Risk,A 4,Withdrawn,12.00,Y,HIGH,12.2,367.0,True,ULTRA HOT
B C Bhuyan Constructions Pvt. Ltd.,2025-06-18,CRISIL,Term loans,High Risk,B+,Withdrawn,1.00,Y,HIGH,12.2,367.0,True,ULTRA HOT
B K Sons Infrastructure Pvt. Ltd.,2025-06-20,CRISIL,Bank Guarantee,Default,D,Withdrawn,50.00,Y,HIGH,12.2,365.0,True,ULTRA HOT
B L J Resources & Chemicals Pvt. Ltd.,2025-06-25,CRISIL,Term loans,High Risk,B,Reaffirmed,3.50,Y,HIGH,12.0,360.0,True,ULTRA HOT
B M C Ferrocast Pvt. Ltd.,2025-06-25,CRISIL,Long term Loans,High Risk,B,Reaffirmed,13.60,Y,HIGH,12.0,360.0,True,ULTRA HOT
Baba Malleshwar Agro Products Pvt. Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.18,Y,HIGH,12.0,360.0,True,ULTRA HOT
Baba Malleshwar Agro Products Pvt. Ltd.,2025-06-25,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.19,Y,HIGH,12.0,360.0,True,ULTRA HOT
Baba Malleshwar Agro Products Pvt. Ltd.,2025-06-25,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.38,Y,HIGH,12.0,360.0,True,ULTRA HOT
Baba Super Minerals Pvt. Ltd.,2025-06-13,CRISIL,Bank Guarantee,High Risk,B+,Withdrawn,0.38,Y,HIGH,12.4,372.0,True,ULTRA HOT
Baba Super Minerals Pvt. Ltd.,2025-06-13,CRISIL,Letter Of credit,High Risk,A 4,Withdrawn,3.00,Y,HIGH,12.4,372.0,True,ULTRA HOT
Baba Super Minerals Pvt. Ltd.,2025-06-13,CRISIL,Term loans,High Risk,B+,Withdrawn,13.86,Y,HIGH,12.4,372.0,True,ULTRA HOT
Baddi Foils Pvt. Ltd.,2025-05-27,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,0.05,Y,HIGH,13.0,389.0,True,ULTRA HOT
Baddi Foils Pvt. Ltd.,2025-05-27,CRISIL,Letter Of credit,High Risk,A 4+,Reaffirmed,10.36,Y,HIGH,13.0,389.0,True,ULTRA HOT
Baddi Foils Pvt. Ltd.,2025-05-27,CRISIL,Term loans,Inadequate Safety,BB+,Reaffirmed,1.09,Y,HIGH,13.0,389.0,True,ULTRA HOT
Balaji Cellphone Pvt. Ltd.,2025-06-09,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,6.00,Y,HIGH,12.5,376.0,True,ULTRA HOT
Balaji Loomtex Pvt. Ltd.,2025-05-29,CRISIL,Term loans,High Risk,B+,Reaffirmed,16.50,Y,HIGH,12.9,387.0,True,ULTRA HOT
Balaji Pressure Vessels Pvt. Ltd.,2025-05-29,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,13.70,Y,HIGH,12.9,387.0,True,ULTRA HOT
Balaji Pressure Vessels Pvt. Ltd.,2025-05-29,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,3.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Balaji Pressure Vessels Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.80,Y,HIGH,12.9,387.0,True,ULTRA HOT
Balasore Marine Exports Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,Default,D,Reaffirmed,0.20,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bansal Finefoods Pvt. Ltd.,2025-05-27,CRISIL,Term loans,Inadequate Safety,BB+,Downgraded,2.00,Y,HIGH,13.0,389.0,True,ULTRA HOT
Basak Bottling Plant Pvt. Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.20,Y,HIGH,12.0,360.0,True,ULTRA HOT
