Company Name,Tier,Overall_Urgency,CRISIL INC Instrument,BW INC Instrument,CRISIL INC Date,BW INC Date,CRISIL Days Overdue,BW Days Overdue,Current Rater(s),Why Target,ACER Pitch Angle
Jaidayal Hitex Pvt. Ltd.,ULTRA HOT,HIGH,Term loans,Term loans,2025-05-06,2025-06-20,410,365,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
Yadav Solvex Pvt. Ltd.,ULTRA HOT,HIGH,Term loans,Term loans,2025-05-30,2025-05-19,386,397,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
Pandit Automobiles Pvt. Ltd.,ULTRA HOT,HIGH,Bank Guarantee,Bank Guarantee,2025-05-26,2025-06-02,390,383,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
Omkar Speciality Chemicals Ltd.,ULTRA HOT,HIGH,Letter Of credit,Letter Of credit,2025-05-30,2025-05-28,386,388,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
Shubham Cotton Mills Pvt. Ltd.,ULTRA HOT,HIGH,Term loans,Term loans,2025-05-29,2025-06-11,387,374,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
S A Iron & Alloys Pvt. Ltd.,ULTRA HOT,HIGH,Term loans,Bank Guarantee,2025-06-06,2025-06-04,379,381,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
M A Sarsinsa Steels Pvt. Ltd.,HOT,HIGH,Letter Of credit,Letter Of credit,2025-07-16,2025-05-06,339,410,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
Geeta Refinery Pvt. Ltd.,HOT,HIGH,Letter Of credit,Term loans,2025-08-21,2025-05-07,303,409,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
Reddy Veeranna Constructions Pvt. Ltd.,HOT,HIGH,Bank Guarantee,Bank Guarantee,2025-09-18,2025-05-07,275,409,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
Aishwaryagiri Constructions Pvt. Ltd.,HOT,HIGH,Bank Guarantee,Bank Guarantee,2025-12-05,2025-05-08,197,408,CRISIL + BRICKWORK,INC at BOTH CRISIL and BRICKWORK — abandoned by two agencies; highest switch probability,"Two agencies have stopped rating you — ACER offers fresh start, fast turnaround, dedicated analyst"
