Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Months Since Rating,Category,Multi Agency INC,Why Target,ACER Pitch Angle
Eastern Silk Inds. Ltd.,Long term Loans,CRISIL,D,2025-06-27,MEDIUM,11.9,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Eastern Silk Inds. Ltd.,Term loans,CRISIL,D,2025-06-27,MEDIUM,11.9,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Eastern Silk Inds. Ltd.,Term loans,CRISIL,D,2025-06-27,MEDIUM,11.9,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
B R B Buildcon Pvt. Ltd.,Term loans,CRISIL,BB,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Carnation Industries Ltd.,Bank Guarantee,CRISIL,D,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Carnation Industries Ltd.,Letter Of credit,CRISIL,D,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Carnation Industries Ltd.,Letter Of credit,CRISIL,D,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Core Energy Systems Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Core Energy Systems Ltd.,Letter Of credit,CRISIL,A 4,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Core Energy Systems Ltd.,Long term Loans,CRISIL,B+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Goyal Ispat Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Grainspan Nutrients Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Grainspan Nutrients Pvt. Ltd.,Term loans,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
