Company Name,Instrument Type,Current Rating,Rating Date,Urgency,Category,Is INC,Size
Air Perfection,Long Term Bank Facility,IVR C (INC)(Downgraded),"July 18, 2025",MEDIUM,HOT,True,Rs. 9.00 Cr.
Primacy Industries Private Limited,Long Term Fund Based Bank Facilities,IVR BB (INC)(Downgraded),"July 7, 2025",MEDIUM,HOT,True,Rs. 82.38 Cr.
Shree Gajanan Paper and Boards Private Limited (SGBPL),Short Term Facilities,IVR A4 (INC)(Reaffirmed),"July 1, 2025",MEDIUM,HOT,True,Rs. 5.50 Cr.
Shree Gajanan Paper and Boards Private Limited (SGBPL),Long Term Facilities,IVR BB- (INC)(Downgraded),"July 1, 2025",MEDIUM,HOT,True,Rs. 60.02 Cr.
Primacy Industries Private Limited,Optionally Convertible Debentures,IVR BB (INC)(Downgraded),"July 7, 2025",MEDIUM,HOT,True,Rs. 28.80 Cr.
Primacy Industries Private Limited,Compulsory Convertible Debentures,IVR BB (INC)(Downgraded),"July 7, 2025",MEDIUM,HOT,True,Rs. 5.33 Cr.
Mohite Industries Limited,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),"December 1, 2025",MEDIUM,HOT,True,Rs. 86.15 Cr.
Mohite Industries Limited,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),"December 1, 2025",MEDIUM,HOT,True,Rs. 2.00 Cr.
Ajit Kumar Swain,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"September 18, 2025",MEDIUM,HOT,True,Rs. 11.00 Cr.
Ajit Kumar Swain,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"September 18, 2025",MEDIUM,HOT,True,Rs. 15.00 Cr
ECR Buildtech Private Limited,Long Term Bank Facilities,IVR BBB- (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 58.00 Cr.
ECR Buildtech Private Limited,Short Term Bank Facilities,IVR A3 (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 5.50 Cr.
Kritika Wires Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),"August 26, 2025",MEDIUM,HOT,True,Rs. 56.50 Cr.
