Company Name,Current Agency,Instrument,Rating,Original Rating Date,12mo Due Date,Recommended Call Date,Day of Week,Months Since Rating
V U B Engiineering Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
V U B Engiineering Ltd.,ACUITE,Letter Of credit,A 4+,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Atul Motors Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,A 4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Atul Motors Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Columbia Petro Chem Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Columbia Petro Chem Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Curetech Formulations Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
R H Solvex Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Rohit Iron & Steel (India) Pvt. Ltd.,BRICKWORK,Non-government debt,BB+/A4+,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Super Iron Foundry Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Super Iron Foundry Ltd.,BRICKWORK,Term loans,C,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Swathi Ginning Mills Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Ammanarul Spinners Pvt. Ltd.,BRICKWORK,Term loans,D,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Bhardwaj Construction Co. Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Magnus Plywood Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Magnus Plywood Pvt. Ltd.,CARE,Term loans,B-,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Shree Azad Transport Co. Pvt. Ltd.,CARE,Term loans,B-,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Troix Chemicals Pvt. Ltd.,CARE,Non-government debt,C/A4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
V R L Media Pvt. Ltd.,CARE,Term loans,BB+,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Vinum Traders Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Maxim Tubes Co. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 2,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Maxim Tubes Co. Pvt. Ltd.,IND-RA,Term loans,BBB+,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Amar Infrastructure Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-01,2026-07-01,2026-07-01,Wednesday,11.8
Malbros International Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Malbros International Pvt. Ltd.,ACUITE,Term loans,BB,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Oasis Commercial Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Oasis Commercial Pvt. Ltd.,ACUITE,Long term Loans,BB,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
