Company Name,Instrument Type,Current Agency,Rating,Rating Date,Urgency,Months Since Rating
Onkar International Pvt. Ltd.,Non-government debt,CARE,C/A4,2025-05-06,HIGH,13.7
Onkar International Pvt. Ltd.,Non-government debt,CARE,C/A4,2025-05-06,HIGH,13.7
Onkar International Pvt. Ltd.,Non-government debt,CARE,C/A4,2025-05-06,HIGH,13.7
Shree Sidhbali Industries Ltd.,Non-government debt,BRICKWORK,B/A4,2025-05-06,HIGH,13.7
West Coast Fine Foods (India) Pvt. Ltd.,Non-government debt,CARE,D,2025-05-06,HIGH,13.7
Bellona Paper Mill Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-09,HIGH,13.6
Cucku Enterprises Pvt. Ltd.,Non-government debt,CARE,D,2025-05-07,HIGH,13.6
Dhan Steels Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-05-08,HIGH,13.6
Iscon Craft Paper Mill Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-05-07,HIGH,13.6
Jsw Mahanadi Power Co. Ltd.,Non-government debt,ICRA,D,2025-05-09,HIGH,13.6
Lanco Babandh Power Ltd.,Non-government debt,CARE,D,2025-05-08,HIGH,13.6
R N P Scaffolding & Formwork Pvt. Ltd.,Non-government debt,ICRA,B/A4,2025-05-09,HIGH,13.6
Rishabh Gold Jewels (India) Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-09,HIGH,13.6
Thermotech Engineering (Pune) Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-05-08,HIGH,13.6
Traditional Gallery Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-07,HIGH,13.6
Traditional Gallery Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-07,HIGH,13.6
Anuspa Heritage Products Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-09,HIGH,13.6
M N C Electricals Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-05-12,HIGH,13.5
Velko Infratek Projects Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-12,HIGH,13.5
Associated Industrial Furnaces Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-05-14,HIGH,13.4
Deep Wines & Agencies Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-05-14,HIGH,13.4
Deepak Vegpro Pvt. Ltd.,Non-government debt,CARE,BB/A4,2025-05-14,HIGH,13.4
Deepak Vegpro Pvt. Ltd.,Non-government debt,CARE,BB/A4,2025-05-14,HIGH,13.4
Ganpati Mega Builders (India) Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-05-13,HIGH,13.4
Globe Automobiles Pvt. Ltd.,Non-government debt,ICRA,BB+/A4+,2025-05-15,HIGH,13.4
Globe Civil Projects Ltd.,Non-government debt,ICRA,B+/A4,2025-05-14,HIGH,13.4
Gonglu Agro Pvt. Ltd.,Non-government debt,ICRA,D,2025-05-14,HIGH,13.4
Jagdamba Timbers Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-05-13,HIGH,13.4
Kandhari Beverages Pvt. Ltd.,Non-government debt,ICRA,BBB+/A2,2025-05-15,HIGH,13.4
Lakhotia Transport Co. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-14,HIGH,13.4
Madhur Knit Crafts Ltd.,Non-government debt,CARE,B-/A4,2025-05-13,HIGH,13.4
Matsya Automobiles Ltd.,Non-government debt,CARE,B-/A4,2025-05-14,HIGH,13.4
R S Fuel Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-05-15,HIGH,13.4
Sai Shreeja Cars Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-14,HIGH,13.4
Shree Shankar Vijay Timber Exports Pvt. Ltd.,Non-government debt,CARE,D,2025-05-14,HIGH,13.4
Varron Industriies Pvt. Ltd.,Non-government debt,CARE,D,2025-05-14,HIGH,13.4
Vijay Solvex Ltd.,Non-government debt,CARE,BB/A4,2025-05-14,HIGH,13.4
Arihant Retail Pvt. Ltd.,Non-government debt,BRICKWORK,D,2025-05-13,HIGH,13.4
Eminent Dealers Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-16,HIGH,13.3
Eminent Dealers Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-16,HIGH,13.3
Global Buildcon Pvt. Ltd.,Non-government debt,ICRA,B/A4,2025-05-16,HIGH,13.3
Harikripa Business Venture Pvt. Ltd.,Non-government debt,ICRA,D,2025-05-16,HIGH,13.3
Kasturi Commodities Pvt. Ltd.,Non-government debt,ICRA,D,2025-05-16,HIGH,13.3
Lords Chloro Alkali Ltd.,Non-government debt,BRICKWORK,B/A4,2025-05-16,HIGH,13.3
Venky Hi-Tech Ispat Ltd.,Non-government debt,ICRA,D,2025-05-16,HIGH,13.3
Alpha Pacific Systems Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-05-16,HIGH,13.3
Bajarang Cotgin Pvt. Ltd.,Non-government debt,BRICKWORK,D,2025-05-20,HIGH,13.2
Caprihans India Ltd.,Non-government debt,CARE,B+/A4,2025-05-19,HIGH,13.2
Kiran Global Chems Ltd.,Non-government debt,CARE,D,2025-05-21,HIGH,13.2
Kiran Global Chems Ltd.,Non-government debt,CARE,D,2025-05-21,HIGH,13.2
Nikkamal Jewels Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2025-05-21,HIGH,13.2
Primuss Metroll Ltd.,Non-government debt,ICRA,C+/A4,2025-05-21,HIGH,13.2
Ray Engineering Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-21,HIGH,13.2
Rishabh Constructions Pvt. Ltd.,Non-government debt,CARE,D,2025-05-21,HIGH,13.2
Viraj Syntex Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-21,HIGH,13.2
Viraj Syntex Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-05-21,HIGH,13.2
