Company Name,Current Rater,Instrument Type,Grade,Rating,Last Rating Date,Days Since Downgrade,Is INC,Urgency,Why Target,ACER Pitch Angle
Deep (India) Enterprises Pvt. Ltd.,CARE,Fund based financial facility/instrument,High Risk,B-,2026-05-04,47.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Lords Travel Pvt. Ltd.,CARE,Bank Guarantee,High Risk,B-,2026-05-04,47.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Libra International Ltd.,CARE,Non-government debt,High Risk,B/A4,2026-05-04,47.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
X L Laboratories Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
United Project Construction Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Union Roller Flour Mills Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Total Environment Constructions Pvt. Ltd.,CRISIL,Term loans,Inadequate Safety,BB+,2026-04-30,51.0,False,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Total Environment Habitat Pvt. Ltd.,CRISIL,Term loans,Inadequate Safety,BB+,2026-04-30,51.0,False,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Uttamenergy Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
V J Automobiles Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Deepak International Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Tranter India Pvt. Ltd.,CRISIL,Letter Of credit,High Risk,A 4+,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Dinesh Brothers Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Peekay Petrochem Pvt. Ltd.,CRISIL,Letter Of credit,High Risk,A 4,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Triveni Knits Pvt. Ltd.,CRISIL,Term loans,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Total Environment Building Systems Pvt. Ltd.,CRISIL,Term loans,Moderate Safety,BBB-,2026-04-30,51.0,False,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
